"tooth_class";"specimen";"num_amtl";"sockets";"age";"stdev_age";"prob_male";"genus";"pop"
"Anterior";"AMNH99.1/100";0;12;37.5591283;6.89761633;0.5;"Homo sapiens";"Alaska"
"Posterior";"AMNH99.1/100";0;12;37.5591283;6.89761633;0.5;"Homo sapiens";"Alaska"
"Premolar";"AMNH99.1/100";0;8;37.5591283;6.89761633;0.5;"Homo sapiens";"Alaska"
"Anterior";"AMNH99.1/101";3;9;39.0329661;7.2151844;0.25;"Homo sapiens";"Alaska"
"Posterior";"AMNH99.1/101";5;7;39.0329661;7.2151844;0.25;"Homo sapiens";"Alaska"
"Premolar";"AMNH99.1/101";2;6;39.0329661;7.2151844;0.25;"Homo sapiens";"Alaska"
"Anterior";"AMNH99.1/102";1;12;34.8934044;5.70308472;0.25;"Homo sapiens";"Alaska"
"Posterior";"AMNH99.1/102";0;12;34.8934044;5.70308472;0.25;"Homo sapiens";"Alaska"
"Premolar";"AMNH99.1/102";0;8;34.8934044;5.70308472;0.25;"Homo sapiens";"Alaska"
"Anterior";"AMNH99.1/103";0;12;29.6004044;5.18766442;0.5;"Homo sapiens";"Alaska"
"Posterior";"AMNH99.1/103";0;12;29.6004044;5.18766442;0.5;"Homo sapiens";"Alaska"
"Premolar";"AMNH99.1/103";0;8;29.6004044;5.18766442;0.5;"Homo sapiens";"Alaska"
"Anterior";"AMNH99.1/104";0;12;44.0440145;8.29624584;0.25;"Homo sapiens";"Alaska"
"Posterior";"AMNH99.1/104";0;12;44.0440145;8.29624584;0.25;"Homo sapiens";"Alaska"
"Premolar";"AMNH99.1/104";0;8;44.0440145;8.29624584;0.25;"Homo sapiens";"Alaska"
"Anterior";"AMNH99.1/105";0;12;32.5480799;5.81978104;0.75;"Homo sapiens";"Alaska"
"Posterior";"AMNH99.1/105";0;12;32.5480799;5.81978104;0.75;"Homo sapiens";"Alaska"
"Premolar";"AMNH99.1/105";0;8;32.5480799;5.81978104;0.75;"Homo sapiens";"Alaska"
"Anterior";"AMNH99.1/107";1;8;56.1166683;10.2682079;0.5;"Homo sapiens";"Alaska"
"Posterior";"AMNH99.1/107";2;10;56.1166683;10.2682079;0.5;"Homo sapiens";"Alaska"
"Premolar";"AMNH99.1/107";0;7;56.1166683;10.2682079;0.5;"Homo sapiens";"Alaska"
"Anterior";"AMNH99.1/109";1;12;43.749247;8.23260632;0.75;"Homo sapiens";"Alaska"
"Posterior";"AMNH99.1/109";5;10;43.749247;8.23260632;0.75;"Homo sapiens";"Alaska"
"Premolar";"AMNH99.1/109";0;8;43.749247;8.23260632;0.75;"Homo sapiens";"Alaska"
"Anterior";"AMNH99.1/110";1;5;41.9806416;7.85088419;0.75;"Homo sapiens";"Alaska"
"Posterior";"AMNH99.1/110";0;6;41.9806416;7.85088419;0.75;"Homo sapiens";"Alaska"
"Premolar";"AMNH99.1/110";1;4;41.9806416;7.85088419;0.75;"Homo sapiens";"Alaska"
"Anterior";"AMNH99.1/111";0;12;42.2754092;7.9144902;0.5;"Homo sapiens";"Alaska"
"Posterior";"AMNH99.1/111";0;12;42.2754092;7.9144902;0.5;"Homo sapiens";"Alaska"
"Premolar";"AMNH99.1/111";0;8;42.2754092;7.9144902;0.5;"Homo sapiens";"Alaska"
"Anterior";"AMNH99.1/112";2;12;43.749247;8.23260632;0.25;"Homo sapiens";"Alaska"
"Posterior";"AMNH99.1/112";2;11;43.749247;8.23260632;0.25;"Homo sapiens";"Alaska"
"Premolar";"AMNH99.1/112";2;8;43.749247;8.23260632;0.25;"Homo sapiens";"Alaska"
"Anterior";"AMNH99.1/160";1;4;55;15;0.25;"Homo sapiens";"Alaska"
"Posterior";"AMNH99.1/160";3;5;55;15;0.25;"Homo sapiens";"Alaska"
"Premolar";"AMNH99.1/160";1;4;55;15;0.25;"Homo sapiens";"Alaska"
"Anterior";"AMNH99.1/59";6;12;48.8;10.5;0.25;"Homo sapiens";"Alaska"
"Posterior";"AMNH99.1/59";6;6;48.8;10.5;0.25;"Homo sapiens";"Alaska"
