month;day;year;id;age;kg.meat;hours;datatype
10;2;1981;3043;67;0.00;6.97;1
10;3;1981;3043;67;0.00;9.00;1
10;4;1981;3043;67;0.00;1.55;1
10;5;1981;3043;67;4.50;8.00;1
10;6;1981;3043;67;0.00;3.00;1
10;7;1981;3043;67;0.00;7.50;1
10;8;1981;3043;67;0.00;9.00;1
2;6;1982;3043;68;0.00;7.30;1
2;7;1982;3043;68;0.00;8.10;1
2;8;1982;3043;68;0.00;6.00;1
2;9;1982;3043;68;0.00;8.00;1
2;10;1982;3043;68;0.00;6.60;1
2;11;1982;3043;68;0.00;7.10;1
2;12;1982;3043;68;0.00;8.30;1
2;13;1982;3043;68;0.00;7.80;1
2;14;1982;3043;68;0.00;7.80;1
2;15;1982;3043;68;2.80;3.40;1
3;29;1982;3043;68;0.00;9.80;1
3;30;1982;3043;68;0.00;9.60;1
3;31;1982;3043;68;0.00;8.10;1
4;1;1982;3043;68;0.00;8.60;1
4;2;1982;3043;68;0.00;5.70;1
4;3;1982;3043;68;5.50;8.70;1
4;4;1982;3043;68;0.00;7.70;1
4;5;1982;3043;68;0.00;11.20;1
4;6;1982;3043;68;0.00;9.70;1
3;31;1980;3059;62;0.00;8.00;1
4;1;1980;3059;62;0.00;9.80;1
4;2;1980;3059;62;0.00;6.00;1
12;10;1981;3059;63;0.00;7.20;1
12;11;1981;3059;63;0.00;9.00;1
12;12;1981;3059;63;0.00;11.00;1
12;13;1981;3059;63;0.00;0.40;1
12;14;1981;3059;63;3.90;5.20;1
12;15;1981;3059;63;0.00;5.90;1
4;18;1982;3059;64;0.00;6.70;1
4;19;1982;3059;64;0.00;5.30;1
4;20;1982;3059;64;0.00;8.00;1
4;21;1982;3059;64;0.00;4.40;1
4;22;1982;3059;64;0.00;2.10;1
4;23;1982;3059;64;0.00;9.00;1
4;24;1982;3059;64;3.00;9.40;1
4;25;1982;3059;64;0.45;7.70;1
4;26;1982;3059;64;0.00;7.10;1
3;31;1980;3079;56;0.00;7.80;1
4;1;1980;3079;56;0.85;9.80;1
4;2;1980;3079;56;0.00;5.40;1
4;25;1980;3080;56;5.70;6.70;1
4;26;1980;3080;56;0.00;9.00;1
4;28;1980;3080;56;1.00;8.00;1
4;29;1980;3080;56;24.36;4.50;1
4;30;1980;3080;56;0.00;7.00;1
5;2;1980;3080;56;0.00;6.80;1
5;15;1980;3080;56;4.40;7.50;1
5;16;1980;3080;56;0.00;9.80;1
5;17;1980;3080;56;8.90;6.30;1
5;18;1980;3080;56;0.00;5.80;1
5;19;1980;3080;56;0.00;5.20;1
11;6;1981;3080;57;0.00;7.50;1
11;7;1981;3080;57;0.00;5.20;1
11;8;1981;3080;57;0.00;8.00;1
11;10;1981;3080;57;3.93;9.10;1
11;11;1981;3080;57;0.00;8.00;1
11;12;1981;3080;57;41.00;3.90;1
11;13;1981;3080;57;0.00;3.90;1
8;15;1995;3089;69;4.96;;3
8;28;1995;3089;69;4.87;;3
6;15;1996;3089;70;0.00;;3
10;21;1999;3103;71;0.00;;3
10;22;1999;3103;71;0.00;;3
10;23;1999;3103;71;0.00;;3
10;24;1999;3103;71;7.80;;3
12;17;1999;3103;71;9.82;;3
12;18;1999;3103;71;9.82;;3
12;26;1999;3103;71;8.74;;3
12;29;1999;3103;71;0.00;;3
12;30;1999;3103;71;0.00;;3
12;31;1999;3103;71;0.00;;3
1;1;2000;3103;72;8.74;;3
1;2;2000;3103;72;0.00;;3
2;5;2000;3103;72;5.02;;3
2;10;2000;3103;72;0.00;;3
2;11;2000;3103;72;0.00;;3
2;12;2000;3103;72;0.00;;3
5;9;2000;3103;72;0.00;;3
5;10;2000;3103;72;8.74;;3
5;11;2000;3103;72;4.87;;3
6;29;2000;3103;72;0.00;;3
6;30;2000;3103;72;4.87;;3
7;1;2000;3103;72;0.00;;3
7;16;2000;3103;72;0.00;;3
7;17;2000;3103;72;4.96;;3
7;18;2000;3103;72;9.82;;3
7;19;2000;3103;72;0.00;;3
7;20;2000;3103;72;0.00;;3
7;21;2000;3103;72;0.00;;3
10;7;2000;3103;72;0.00;;3
10;8;2000;3103;72;0.00;;3
10;9;2000;3103;72;0.00;;3
10;10;2000;3103;72;4.96;;3
10;11;2000;3103;72;0.00;;3
10;12;2000;3103;72;0.00;;3
10;13;2000;3103;72;0.00;;3
10;14;2000;3103;72;0.00;;3
10;15;2000;3103;72;0.00;;3
1;29;2001;3103;71;0.00;;3
1;30;2001;3103;71;0.00;;3
1;31;2001;3103;71;0.00;;3
2;1;2001;3103;71;0.00;;3
2;14;2004;3103;74;0.00;;3
2;18;2005;3103;75;0.00;;3
4;25;1980;3104;50;2.00;6.70;1
4;26;1980;3104;50;0.00;9.00;1
4;28;1980;3104;50;0.00;8.50;1
4;29;1980;3104;50;0.00;6.00;1
4;30;1980;3104;50;0.00;7.00;1
5;2;1980;3104;50;2.40;6.80;1
10;21;1997;3106;67;5.35;7.10;1
10;22;1997;3106;67;3.80;8.90;1
10;23;1997;3106;67;4.90;8.60;1
8;25;2000;3106;70;4.50;;3
9;21;2000;3106;70;4.50;;3
11;30;2000;3106;70;5.40;;3
12;7;2000;3106;70;4.50;;3
