"id";"days_to_event";"date_out";"out_event";"date_in";"in_event";"breed";"color";"intake_age"
"A730601";1;"07/08/2016 09:00:00 AM";"Transfer";"07/07/2016 12:11:00 PM";"Stray";"Domestic Shorthair Mix";"Blue Tabby";7
"A679549";25;"06/16/2014 01:54:00 PM";"Transfer";"05/22/2014 03:43:00 PM";"Stray";"Domestic Shorthair Mix";"Black/White";1
"A683656";4;"07/17/2014 04:57:00 PM";"Adoption";"07/13/2014 01:20:00 PM";"Stray";"Snowshoe Mix";"Lynx Point";2
"A709749";41;"09/22/2015 12:49:00 PM";"Transfer";"08/12/2015 06:29:00 PM";"Stray";"Domestic Shorthair Mix";"Calico";12
"A733551";9;"09/01/2016 12:00:00 AM";"Transfer";"08/23/2016 02:35:00 PM";"Stray";"Domestic Shorthair Mix";"Brown Tabby/White";1
"A756485";4;"08/24/2017 05:34:00 PM";"Adoption";"08/20/2017 03:07:00 PM";"Stray";"Domestic Shorthair Mix";"Blue Tabby";1
"A732960";4;"08/19/2016 06:27:00 PM";"Adoption";"08/15/2016 03:08:00 PM";"Stray";"Domestic Shorthair Mix";"Calico";2
"A664571";5;"10/10/2013 02:07:00 PM";"Adoption";"10/05/2013 01:43:00 PM";"Owner Surrender";"Domestic Shorthair Mix";"Torbie";24
"A727402";24;"06/14/2016 04:18:00 PM";"Adoption";"05/21/2016 04:30:00 PM";"Stray";"Domestic Shorthair Mix";"Brown Tabby";1
"A749579";2;"05/18/2017 03:36:00 PM";"Transfer";"05/16/2017 05:19:00 PM";"Stray";"Domestic Shorthair Mix";"Blue Tabby";3
"A729190";34;"07/18/2016 05:50:00 PM";"Adoption";"06/14/2016 02:42:00 PM";"Stray";"Domestic Shorthair Mix";"Brown Tabby";4
"A754695";27;"08/19/2017 01:02:00 PM";"Adoption";"07/23/2017 11:17:00 AM";"Stray";"Domestic Shorthair Mix";"Blue Tabby";12
"A752501";3;"06/26/2017 04:05:00 PM";"Transfer";"06/23/2017 11:00:00 AM";"Stray";"Domestic Shorthair Mix";"Brown Tabby";1
"A741843";151;"06/10/2017 03:21:00 PM";"Euthanasia";"01/10/2017 09:18:00 AM";"Owner Surrender";"Domestic Shorthair Mix";"Orange Tabby";7
"A751399";106;"09/21/2017 12:49:00 PM";"Adoption";"06/07/2017 04:30:00 PM";"Stray";"Domestic Shorthair Mix";"Blue Tabby";0
"A703167";4;"05/25/2015 03:38:00 PM";"Transfer";"05/21/2015 11:02:00 AM";"Stray";"Domestic Shorthair Mix";"Black";12
"A677624";55;"06/21/2014 02:51:00 PM";"Adoption";"04/27/2014 11:23:00 AM";"Stray";"Domestic Shorthair Mix";"Black";1
"A699075";1;"03/23/2015 09:00:00 AM";"Transfer";"03/22/2015 10:56:00 AM";"Stray";"Domestic Shorthair Mix";"Black";12
"A754906";4;"07/30/2017 10:47:00 PM";"Adoption";"07/26/2017 01:50:00 PM";"Stray";"Domestic Longhair Mix";"Blue Tabby";1
"A767442";30;"03/31/2018 05:26:00 PM";"Adoption";"03/01/2018 10:50:00 AM";"Owner Surrender";"Domestic Shorthair Mix";"Seal Point";24
"A676984";18;"05/05/2014 12:31:00 PM";"Transfer";"04/17/2014 05:12:00 PM";"Stray";"Domestic Longhair Mix";"Black/White";24
"A666200";5;"11/02/2013 05:07:00 PM";"Adoption";"10/28/2013 04:03:00 PM";"Stray";"Siamese Mix";"Lilac Point";3
"A728539";34;"07/09/2016 05:52:00 PM";"Adoption";"06/05/2016 03:02:00 PM";"Stray";"Domestic Shorthair Mix";"Brown Tabby";1
"A686070";1;"08/17/2014 09:00:00 AM";"Transfer";"08/16/2014 11:17:00 AM";"Stray";"Domestic Shorthair Mix";"Cream Tabby/White";24
"A726812";10;"05/24/2016 04:21:00 PM";"Adoption";"05/14/2016 06:23:00 PM";"Stray";"Domestic Shorthair Mix";"Brown Tabby";1
"A687804";2;"09/12/2014 09:00:00 AM";"Transfer";"09/10/2014 12:16:00 PM";"Stray";"Domestic Shorthair Mix";"Blue";24
"A771402";9;"05/13/2018 12:50:00 PM";"Adoption";"05/04/2018 02:12:00 PM";"Owner Surrender";"Domestic Shorthair Mix";"Blue/White";12
"A737666";7;"11/09/2016 02:16:00 PM";"Transfer";"11/02/2016 12:21:00 PM";"Stray";"Domestic Medium Hair Mix";"Black";4
"A692589";21;"12/14/2014 05:32:00 PM";"Adoption";"11/23/2014 11:32:00 AM";"Stray";"Domestic Shorthair Mix";"Blue/White";3
"A706067";5;"06/29/2015 01:55:00 PM";"Transfer";"06/24/2015 12:17:00 PM";"Stray";"Domestic Shorthair Mix";"White/Black";3
"A667606";60;"01/19/2014 04:47:00 PM";"Adoption";"11/20/2013 12:29:00 PM";"Stray";"Domestic Shorthair Mix";"Torbie";1
"A710491";68;"10/31/2015 07:48:00 AM";"Adoption";"08/24/2015 08:40:00 AM";"Stray";"Domestic Longhair Mix";"Black/White";4
"A726861";27;"06/11/2016 04:39:00 PM";"Adoption";"05/15/2016 02:30:00 PM";"Owner Surrender";"Domestic Shorthair Mix";"White/Tan";12
"A728524";5;"06/10/2016 02:28:00 PM";"Adoption";"06/05/2016 12:32:00 PM";"Stray";"Domestic Medium Hair Mix";"Brown";12
"A715799";1;"11/11/2015 11:39:00 AM";"Transfer";"11/10/2015 11:57:00 AM";"Stray";"Domestic Shorthair Mix";"Black";4
"A761854";27;"12/07/2017 06:52:00 PM";"Adoption";"11/10/2017 03:40:00 PM";"Owner Surrender";"Domestic Shorthair Mix";"Tortie";96
"A719347";5;"01/22/2016 07:04:00 PM";"Adoption";"01/17/2016 05:36:00 PM";"Stray";"Snowshoe Mix";"Lynx Point/White";24
"A765890";4;"02/02/2018 02:17:00 PM";"Transfer";"01/29/2018 01:56:00 PM";"Stray";"Domestic Shorthair Mix";"Brown Tabby";12
"A759297";47;"11/16/2017 12:33:00 PM";"Adoption";"09/30/2017 11:44:00 AM";"Owner Surrender";"Domestic Shorthair Mix";"Black";36
"A676635";9;"04/21/2014 09:54:00 AM";"Adoption";"04/12/2014 06:18:00 PM";"Owner Surrender";"Domestic Shorthair Mix";"Brown Tabby";3
"A682797";5;"07/08/2014 03:25:00 PM";"Transfer";"07/03/2014 11:01:00 AM";"Stray";"Domestic Shorthair Mix";"Orange Tabby";1
"A735393";1;"09/24/2016 09:00:00 AM";"Transfer";"09/23/2016 12:58:00 PM";"Stray";"Domestic Shorthair Mix";"Orange Tabby/White";12
"A735494";73;"12/06/2016 01:54:00 PM";"Adoption";"09/24/2016 02:53:00 PM";"Stray";"Domestic Shorthair Mix";"Torbie/White";1
"A740410";4;"12/20/2016 06:41:00 PM";"Adoption";"12/16/2016 04:46:00 PM";"Stray";"Domestic Shorthair Mix";"Black";1
"A755438";4;"08/07/2017 05:07:00 PM";"Transfer";"08/03/2017 01:42:00 PM";"Stray";"Domestic Shorthair Mix";"Orange Tabby/White";4
"A737520";86;"01/24/2017 01:30:00 PM";"Adoption";"10/30/2016 02:51:00 PM";"Stray";"Domestic Shorthair Mix";"Orange Tabby/White";0
"A687319";6;"09/09/2014 05:15:00 PM";"Adoption";"09/03/2014 01:15:00 PM";"Owner Surrender";"Maine Coon Mix";"Brown Tabby";24
"A701980";119;"09/03/2015 12:34:00 PM";"Adoption";"05/07/2015 12:02:00 PM";"Stray";"Domestic Shorthair Mix";"Brown Tabby/White";12
"A691211";106;"03/08/2015 11:30:00 AM";"Adoption";"11/22/2014 02:14:00 PM";"Owner Surrender";"Domestic Shorthair Mix";"Black";120
"A763065";47;"01/18/2018 04:37:00 PM";"Adoption";"12/02/2017 01:41:00 PM";"Stray";"American Shorthair Mix";"Brown Tabby/Black";24
"A702984";1;"05/20/2015 09:00:00 AM";"Transfer";"05/19/2015 06:24:00 PM";"Stray";"Domestic Shorthair Mix";"Black";12
"A545301";19;"08/23/2015 06:41:00 PM";"Adoption";"08/04/2015 02:13:00 PM";"Owner Surrender";"Maine Coon";"Torbie";96
"A751213";1;"06/06/2017 02:33:00 PM";"Transfer";"06/05/2017 12:30:00 PM";"Stray";"Domestic Shorthair Mix";"Orange Tabby";4
"A703159";24;"06/14/2015 12:24:00 PM";"Adoption";"05/21/2015 10:51:00 AM";"Stray";"Domestic Shorthair Mix";"Black";1
"A684929";67;"10/19/2014 04:01:00 PM";"Adoption";"08/13/2014 03:42:00 PM";"Owner Surrender";"Domestic Shorthair Mix";"Black";84
"A767158";4;"02/28/2018 06:49:00 PM";"Adoption";"02/24/2018 02:24:00 PM";"Stray";"Domestic Medium Hair Mix";"Orange Tabby/White";1
"A703802";38;"07/06/2015 07:23:00 PM";"Adoption";"05/29/2015 10:26:00 AM";"Stray";"Domestic Shorthair Mix";"Blue";1
"A705561";4;"06/23/2015 03:19:00 PM";"Euthanasia";"06/19/2015 07:31:00 AM";"Stray";"Domestic Longhair Mix";"Seal Point";1
"A766507";3;"02/13/2018 07:30:00 PM";"Transfer";"02/10/2018 03:30:00 PM";"Stray";"Domestic Shorthair Mix";"Orange Tabby";12
"A720249";9;"02/14/2016 02:53:00 PM";"Euthanasia";"02/05/2016 12:43:00 PM";"Stray";"Domestic Longhair Mix";"Black/White";48
"A715760";23;"12/17/2015 03:28:00 PM";"Transfer";"11/24/2015 03:24:00 PM";"Owner Surrender";"Domestic Shorthair Mix";"Orange Tabby";12
"A713150";1;"10/04/2015 09:00:00 AM";"Transfer";"10/03/2015 12:04:00 PM";"Stray";"Domestic Medium Hair Mix";"Blue/White";6
"A760375";7;"10/24/2017 06:33:00 PM";"Transfer";"10/17/2017 11:33:00 AM";"Stray";"Domestic Shorthair Mix";"Black/White";3
"A751039";44;"07/17/2017 10:57:00 PM";"Adoption";"06/03/2017 02:27:00 PM";"Stray";"Domestic Shorthair Mix";"Brown Tabby";4
"A690140";3;"10/17/2014 02:02:00 PM";"Transfer";"10/14/2014 09:41:00 PM";"Owner Surrender";"Domestic Shorthair Mix";"White/Black";2
"A713803";57;"12/09/2015 09:15:00 AM";"Adoption";"10/13/2015 12:39:00 PM";"Stray";"Domestic Medium Hair Mix";"Tortie";1
"A701059";42;"06/04/2015 11:36:00 AM";"Adoption";"04/23/2015 03:23:00 PM";"Stray";"Domestic Shorthair Mix";"Blue Tabby";4
"A713788";58;"12/10/2015 06:59:00 PM";"Adoption";"10/13/2015 11:02:00 AM";"Stray";"Domestic Shorthair Mix";"Blue/White";3
"A699366";51;"05/16/2015 05:42:00 PM";"Adoption";"03/26/2015 01:16:00 PM";"Stray";"Domestic Shorthair Mix";"Brown Tabby";2
"A757589";61;"11/02/2017 06:11:00 PM";"Adoption";"09/02/2017 06:19:00 PM";"Stray";"Domestic Shorthair Mix";"Calico";0
"A710285";1;"08/21/2015 09:00:00 AM";"Transfer";"08/20/2015 04:40:00 PM";"Stray";"Domestic Shorthair Mix";"Black";3
"A672721";5;"02/20/2014 12:11:00 PM";"Adoption";"02/15/2014 03:21:00 PM";"Stray";"Siamese Mix";"Lilac Point";4
"A727124";52;"07/09/2016 04:48:00 PM";"Adoption";"05/18/2016 01:31:00 PM";"Stray";"Domestic Shorthair Mix";"White";4
"A757825";8;"09/15/2017 01:37:00 PM";"Transfer";"09/07/2017 11:31:00 AM";"Stray";"Domestic Shorthair Mix";"Tortie";120
"A755904";17;"08/27/2017 12:06:00 PM";"Transfer";"08/10/2017 04:44:00 PM";"Owner Surrender";"Domestic Shorthair Mix";"Orange Tabby";96
"A744588";9;"03/12/2017 11:41:00 AM";"Adoption";"03/03/2017 02:53:00 PM";"Owner Surrender";"Domestic Longhair Mix";"Orange Tabby";48
"A739274";31;"12/31/2016 12:19:00 PM";"Adoption";"11/30/2016 08:27:00 AM";"Stray";"Domestic Medium Hair Mix";"Calico/Black";1
"A748636";6;"05/10/2017 12:00:00 AM";"Transfer";"05/04/2017 06:22:00 PM";"Stray";"Domestic Shorthair Mix";"Brown Tabby/White";12
"A715190";44;"12/15/2015 10:45:00 AM";"Adoption";"11/01/2015 04:16:00 PM";"Stray";"Domestic Shorthair Mix";"Brown Tabby/White";72
"A719797";49;"03/17/2016 12:30:00 PM";"Adoption";"01/28/2016 07:49:00 AM";"Stray";"Domestic Shorthair Mix";"Black";48
"A707830";4;"07/22/2015 06:27:00 PM";"Adoption";"07/18/2015 03:16:00 PM";"Stray";"Domestic Medium Hair Mix";"White/Orange";4
"A671235";5;"01/26/2014 05:47:00 PM";"Adoption";"01/21/2014 01:30:00 PM";"Owner Surrender";"Domestic Shorthair Mix";"Brown Tabby";5
"A708837";57;"09/27/2015 03:10:00 PM";"Adoption";"08/01/2015 12:21:00 PM";"Stray";"Domestic Medium Hair";"Torbie";12
"A664609";1;"10/07/2013 04:01:00 PM";"Transfer";"10/06/2013 11:20:00 AM";"Stray";"Domestic Shorthair Mix";"Brown Tabby/White";24
