"y";"gender";"age";"majority_first";"culture"
1;1;6;0;2
3;1;8;0;2
2;2;8;1;2
1;1;6;0;2
2;1;5;1;2
2;2;7;1;2
2;2;6;0;2
1;1;6;1;2
3;1;8;0;2
2;1;5;1;2
3;1;9;0;2
3;1;9;1;2
3;2;9;0;2
3;1;8;1;2
3;2;9;0;2
1;1;10;1;2
2;1;9;0;2
1;2;9;1;2
2;2;5;1;2
3;2;7;0;2
1;1;6;1;2
3;2;7;1;2
2;2;10;1;2
1;1;5;1;2
2;2;9;0;2
2;1;5;0;2
2;2;9;0;2
3;1;8;1;2
2;2;10;1;2
1;2;7;1;2
2;2;5;0;2
3;1;9;0;2
2;2;5;1;2
3;1;5;0;2
2;2;7;1;2
2;1;7;0;2
3;1;8;0;2
2;1;8;1;2
2;1;7;0;2
2;2;7;0;2
3;2;9;0;2
2;1;8;1;2
3;1;6;1;2
2;2;9;1;2
2;2;6;0;2
2;2;8;1;2
3;2;9;0;2
2;2;7;0;2
2;1;5;1;1
2;2;8;0;1
2;1;6;1;1
1;2;5;0;1
1;1;9;1;1
3;1;5;1;1
3;1;7;0;1
3;1;8;0;1
2;1;5;0;1
3;2;8;1;1
2;1;5;1;1
2;2;11;0;1
1;1;9;0;1
2;1;11;1;1
2;1;6;1;1
2;1;4;0;1
1;2;8;0;1
2;2;8;1;1
2;1;5;0;1
3;1;11;0;1
2;2;11;1;1
3;2;6;0;1
3;2;7;0;1
3;2;10;0;1
1;2;5;1;1
2;2;8;0;1
3;1;4;1;1
3;1;8;0;1
1;2;5;1;1
3;2;5;0;1
2;2;7;1;1
3;2;7;0;1
2;2;4;1;1
2;1;9;1;1
3;1;7;1;1
1;1;5;0;1
2;2;8;1;1
3;1;8;0;1
2;1;9;1;1
2;1;5;1;1
2;2;12;1;1
3;2;5;0;1
2;2;6;0;1
3;2;7;0;1
3;1;5;0;1
3;1;7;0;1
3;1;5;1;1
3;1;4;0;1
1;1;5;0;1
3;1;9;0;1
2;2;10;1;1
3;2;5;1;1
1;1;5;0;1
1;1;5;1;1
1;1;4;0;1
2;2;5;0;1
2;1;5;1;1
3;1;5;0;1
2;2;5;1;1
3;2;5;0;1
3;2;11;0;1
2;2;4;1;1
2;1;8;1;1
1;1;6;1;1
2;1;9;1;1
3;2;5;0;1
2;2;5;1;1
