"focal";"other";"dyad";"win";"dist_focal";"dist_other";"n_focal";"n_other";"m_focal";"m_other";"f_focal";"f_other"
2;1;1;0;538;577;5;13;2;4;3;9
2;1;1;0;749;462;5;13;2;4;3;9
2;5;5;1;403;449;5;6;2;2;3;4
2;6;6;0;241;805;5;10;2;3;3;7
6;2;6;0;256;616;10;5;3;2;7;3
6;2;6;1;441;538;10;5;3;2;7;3
6;2;6;0;185;617;10;5;3;2;7;3
2;6;6;0;411;539;5;10;2;3;3;7
2;5;5;1;426;189;5;6;2;2;3;4
5;2;5;0;256;197;6;5;2;2;4;3
6;2;6;0;411;434;10;5;3;2;7;3
1;6;3;1;299;511;13;10;4;3;9;7
6;1;3;1;461;378;10;13;3;4;7;9
2;5;5;1;410;175;5;6;2;2;3;4
1;6;3;1;228;506;13;10;4;3;9;7
1;2;1;1;257;853;13;5;4;2;9;3
1;2;1;1;516;191;13;5;4;2;9;3
2;5;5;0;511;489;5;6;2;2;3;4
1;2;1;1;500;721;13;5;4;2;9;3
2;6;6;0;616;306;5;10;2;3;3;7
4;2;4;1;229;55;10;5;3;2;7;3
2;1;1;1;181;526;5;13;2;4;3;9
4;2;4;1;185;155;10;5;3;2;7;3
2;4;4;1;207;209;5;10;2;3;3;7
2;4;4;1;126;211;5;10;2;3;3;7
4;5;8;1;501;90;10;6;3;2;7;4
4;1;2;0;404;576;10;13;3;4;7;9
2;4;4;1;186;224;5;10;2;3;3;7
2;5;5;1;528;175;5;6;2;2;3;4
3;6;7;1;469;474;10;10;3;3;7;7
5;2;5;0;264;388;6;5;2;2;4;3
2;5;5;1;324;264;5;6;2;2;3;4
4;5;8;1;205;548;10;6;3;2;7;4
4;2;4;1;174;239;10;5;3;2;7;3
5;2;5;1;258;469;6;5;2;2;4;3
4;2;4;0;72;248;10;5;3;2;7;3
5;2;5;0;497;264;6;5;2;2;4;3
4;5;8;1;239;334;10;6;3;2;7;4
2;5;5;1;290;363;5;6;2;2;3;4
6;3;7;0;584;159;10;10;3;3;7;7
2;4;4;0;262;82;5;10;2;3;3;7
2;4;4;0;303;105;5;10;2;3;3;7
1;6;3;1;343;471;13;10;4;3;9;7
2;5;5;1;591;295;5;6;2;2;3;4
1;2;1;0;579;327;13;5;4;2;9;3
5;2;5;1;242;425;6;5;2;2;4;3
2;4;4;1;335;166;5;10;2;3;3;7
2;4;4;0;308;177;5;10;2;3;3;7
1;6;3;0;390;467;13;10;4;3;9;7
4;2;4;1;88;208;10;5;3;2;7;3
5;2;5;0;373;374;6;5;2;2;4;3
1;6;3;0;328;457;13;10;4;3;9;7
2;5;5;1;259;193;5;6;2;2;3;4
1;6;3;1;259;454;13;10;4;3;9;7
6;3;7;0;388;417;10;10;3;3;7;7
2;4;4;0;252;234;5;10;2;3;3;7
6;3;7;0;578;416;10;10;3;3;7;7
6;3;7;0;535;300;10;10;3;3;7;7
