"age";"mass";"species";"sp_id"
1;162.7;"Maiasaura peeblesorum";2
5;423.1;"Maiasaura peeblesorum";2
6;1429;"Maiasaura peeblesorum";2
1;0.5;"Shuvuuia deserti";5
2;0.6;"Shuvuuia deserti";5
3;1.7;"Shuvuuia deserti";5
3;0.6;"Psittacosaurus mongoliensis";4
4;1.9;"Psittacosaurus mongoliensis";4
5;2.5;"Psittacosaurus mongoliensis";4
6;6.6;"Psittacosaurus mongoliensis";4
7;8.4;"Psittacosaurus mongoliensis";4
8;16.8;"Psittacosaurus mongoliensis";4
9;19.2;"Psittacosaurus mongoliensis";4
2;4.1;"Syntarsus rhodesiensis";6
3;6.5;"Syntarsus rhodesiensis";6
4;16.4;"Syntarsus rhodesiensis";6
5;17.7;"Syntarsus rhodesiensis";6
6;17.1;"Syntarsus rhodesiensis";6
7;20.1;"Syntarsus rhodesiensis";6
2;3.7;"Massospondylus carinatus";3
4;7.9;"Massospondylus carinatus";3
5;25.3;"Massospondylus carinatus";3
7;39.4;"Massospondylus carinatus";3
8;57.7;"Massospondylus carinatus";3
9;54.4;"Massospondylus carinatus";3
12;114.1;"Massospondylus carinatus";3
13;191.3;"Massospondylus carinatus";3
15;245.2;"Massospondylus carinatus";3
5;897.4;"Apatosaurus excelsus";1
8;9529.9;"Apatosaurus excelsus";1
10;18760.7;"Apatosaurus excelsus";1
15;25427.4;"Apatosaurus excelsus";1
