"pages";"major";"year"
237;"anthropology";2012
106;"chemistry";2012
113;"veterinary medicine";2012
70;"biochemistry molecular biology and biophysics";2013
175;"health informatics";2013
173;"educational policy and administration";2010
170;"agricultural and applied economics";2010
89;"economics";2013
413;"theatre arts";2012
106;"anthropology";2010
288;"comparative literature";2011
93;"nutrition";2010
244;"aerospace engineering and mechanics";2013
106;"computer science";2012
90;"physics";2010
144;"statistics";2009
123;"nursing";2010
100;"physics";2009
120;"electrical engineering";2010
187;"electrical engineering";2011
147;"mechanical engineering";2012
290;"pharmaceutics";2011
209;"molecular cellular developmental biology and genetics";2009
112;"electrical engineering";2012
111;"electrical engineering";2011
121;"computer science";2011
105;"chemical engineering";2013
161;"mechanical engineering";2014
221;"computer science";2012
115;"electrical engineering";2010
380;"nutrition";2014
193;"educational policy and administration";2012
110;"microbiology immunology and cancer biology";2011
183;"veterinary medicine";2009
221;"epidemiology";2013
171;"biomedical engineering";2010
403;"sociology";2012
169;"educational psychology";2012
190;"chemistry";2008
136;"work and human resource education";2011
195;"neuroscience";2009
274;"comparative studies in discourse and society";2013
256;"nutrition";2013
147;"education curriculum and instruction";2012
234;"material science and engineering";2010
195;"educational policy and administration";2011
126;"electrical engineering";2009
220;"mechanical engineering";2009
73;"epidemiology";2012
121;"veterinary medicine";2013
164;"english";2009
148;"rehabilitation science";2011
128;"oral biology";2009
163;"plant pathology";2009
270;"educational psychology";2011
227;"molecular cellular developmental biology and genetics";2012
141;"social and administrative pharmacy";2012
955;"anthropology";2012
188;"biomedical engineering";2009
276;"chemistry";2010
206;"biomedical engineering";2010
116;"natural resources science and management";2010
424;"history";2009
95;"psychology";2012
261;"entomology";2012
299;"mass communication";2008
281;"mechanical engineering";2008
131;"speech-language-hearing sciences";2011
131;"pharmacology";2010
173;"rehabilitation science";2008
165;"microbiology immunology and cancer biology";2014
253;"mechanical engineering";2011
324;"educational policy and administration";2010
88;"education curriculum and instruction";2011
182;"family social science";2010
247;"rhetoric and scientific and technical communication";2012
118;"psychology";2009
186;"work and human resource education";2013
164;"experimental and clinical pharmacology";2012
355;"art history";2009
355;"art history";2012
238;"nutrition";2009
105;"plant pathology";2010
131;"educational psychology";2011
127;"molecular cellular developmental biology and genetics";2009
207;"rhetoric and scientific and technical communication";2013
262;"hispanic and luso literatures cultures and linguistics";2010
120;"mathematics";2009
289;"educational policy and administration";2010
68;"economics";2013
180;"biomedical engineering";2013
116;"computer science";2011
56;"applied economics";2012
165;"work and human resource education";2009
118;"physics";2012
158;"electrical engineering";2012
81;"psychology";2009
186;"applied economics";2009
145;"electrical engineering";2013
98;"economics";2010
184;"mechanical engineering";2010
158;"geophysics";2011
108;"psychology";2012
133;"food science";2010
543;"anthropology";2011
187;"plant pathology";2011
148;"mechanical engineering";2010
192;"mechanical engineering";2011
156;"educational policy and administration";2010
126;"electrical engineering";2012
391;"education curriculum and instruction";2010
125;"chemical engineering";2011
201;"veterinary medicine";2010
93;"physics";2011
177;"biochemistry molecular biology and biophysics";2013
94;"business administration";2011
121;"educational psychology";2009
282;"anthropology";2010
178;"chemistry";2011
161;"natural resources science and management";2013
178;"medicinal chemistry";2011
101;"economics";2013
191;"conservation biology";2009
128;"microbiology immunology and cancer biology";2012
120;"aerospace engineering and mechanics";2009
165;"social administrative and clinical pharmacy";2010
170;"rhetoric and scientific and technical communication";2012
231;"work and human resource education";2014
99;"health services research policy and administration";2011
257;"sociology";2010
209;"experimental and clinical pharmacology";2013
106;"psychology";2009
156;"social and administrative pharmacy";2013
88;"aerospace engineering and mechanics";2012
242;"rhetoric and scientific and technical communication";2013
285;"linguistics";2012
110;"electrical engineering";2013
108;"ecology evolution and behavior";2011
240;"epidemiology";2010
156;"comparative and molecular biosciences";2013
115;"applied plant sciences";2011
188;"educational policy and administration";2013
140;"educational policy and administration";2009
196;"psychology";2008
151;"electrical engineering";2013
154;"hispanic and luso-brazilian literatures and linguistics";2011
180;"chemical engineering";2011
131;"education curriculum and instruction";2010
439;"psychology";2013
198;"educational policy and administration";2013
274;"veterinary medicine";2012
77;"business administration";2012
140;"psychology";2012
195;"conservation biology";2013
53;"biomedical engineering";2013
283;"nursing";2013
101;"psychology";2009
