"player";"FGM";"FGA";"X2PM";"X2PA"
"Andris Biedrins GSW";340;543;340;543
"Tyson Chandler NOH";377;605;377;604
"Dwight Howard ORL";583;974;583;970
"Shaquille O'Neal PHX-MIA";331;558;331;558
"Amare Stoudemire PHX";714;1211;709;1180
"Josh Childress ATL";327;573;305;513
"Ronnie Brewer UTA";354;634;343;584
"David Lee NYK";341;618;341;616
"Carlos Boozer UTA";709;1297;709;1296
"Kevin Garnett BOS";534;990;534;979
"Kenyon Martin DEN";376;699;374;688
"Emeka Okafor CHA";460;860;460;860
"Pau Gasol LAL-MEM";475;890;471;874
"Monta Ellis GSW";652;1227;640;1175
"Brendan Haywood WAS";316;599;316;599
"Lamar Odom LAL";417;795;386;682
"Chris Wilcox SEA";334;638;334;635
"Jose Calderon TOR";367;707;288;523
"* Luis Scola HOU";345;670;345;667
"Samuel Dalembert PHI";339;661;339;660
"Andrew Bogut MIL";465;910;465;903
"Shawn Marion MIA-PHX";400;787;334;589
"Deron Williams UTA";566;1117;483;907
"Ming Yao HOU";432;852;432;850
"Steve Nash PHX";485;962;306;581
"Grant Hill PHX";358;712;325;608
"Nick Collison SEA";322;641;322;639
"Mike Miller MEM";414;824;259;465
"Hakim Warrick MEM";328;653;315;605
"Al Jefferson MIN";721;1441;721;1436
"* Al Horford ATL";333;668;333;663
"Tim Duncan SAS";585;1178;585;1174
"Chris Bosh TOR";507;1027;497;1002
"Tony Parker SAS";515;1043;498;977
"Carmelo Anthony DEN";728;1481;670;1317
"Andre Miller PHI";569;1156;566;1122
"Rajon Rondo BOS";351;713;346;694
"Chris Paul NOH";630;1291;538;1042
"LaMarcus Aldridge POR";561;1160;560;1153
"Richard Hamilton DET";499;1030;437;889
"LeBron James CLE";794;1642;681;1283
"Chris Kaman LAC";338;700;338;696
"David West NOH";629;1305;623;1280
"Mo Williams MIL";441;919;352;688
"Luol Deng CHI";429;896;421;874
"Dirk Nowitzki DAL";630;1314;551;1094
"Joe Smith CLE-CHI";312;653;312;650
"Boris Diaw PHX";308;646;295;605
"John Salmons SAC";381;799;342;679
"Mike Dunleavy IND";532;1117;367;728
"Anthony Parker TOR";395;829;262;525
"Zydrunas Ilgauskas CLE";417;879;417;878
"Linas Kleiza DEN";311;659;217;382
"Dwyane Wade MIA";439;937;417;860
"Jason Terry DAL";471;1008;335;645
"Caron Butler WAS";439;943;373;758
"Richard Jefferson NJN";619;1328;542;1115
"Paul Pierce BOS";509;1098;366;733
"Beno Udrih SAC";328;707;275;570
"Devin Harris NJN-DAL";321;693;265;526
"Brad Miller SAC";337;728;309;638
"Leandro Barbosa PHX";472;1021;308;599
"Francisco Garcia SAC";348;753;235;464
"Rudy Gay MEM";625;1354;491;967
"Marvin Williams ATL";424;918;423;908
"J.R. Smith DEN";311;674;154;284
"Manu Ginobili SAS";453;984;297;595
"Kobe Bryant LAL";775;1690;625;1275
"Zach Randolph NYK";486;1058;464;978
"Allen Iverson DEN";712;1556;617;1281
"Corey Maggette LAC";458;1000;380;797
"Ryan Gomes MIN";392;857;333;678
"Josh Smith ATL";518;1133;493;1034
"Vince Carter NJN";587;1287;489;1014
"Andre Iguodala PHI";582;1277;481;970
"Kevin Martin SAC";417;914;310;648
"Hedo Turkoglu ORL";556;1219;390;804
"Josh Howard DAL";567;1247;500;1037
"Rashard Lewis ORL";516;1135;290;582
"Troy Murphy IND";315;693;221;457
"Brandon Roy POR";531;1170;458;955
"Earl Watson SEA";339;747;290;615
"Ron Artest SAC";436;962;352;741
"Rashad McCants MIN";428;944;286;595
"Drew Gooden CHI-CLE";332;740;332;734
"Gerald Wallace CHA";408;908;337;687
"Chauncey Billups DET";393;877;256;535
"Tayshaun Prince DET";421;940;368;794
"Danny Granger IND";537;1205;366;782
"Ray Allen BOS";439;986;259;534
"Mehmet Okur UTA";374;841;260;547
"Michael Redd MIL";550;1243;420;884
"Jason Richardson CHA";648;1468;405;869
"Peja Stojakovic NOH";451;1026;220;502
"Derek Fisher LAL";339;777;227;501
"Willie Green PHI";379;870;328;691
"Antawn Jamison WAS";618;1417;498;1063
"Charlie Villanueva MIL";354;814;299;629
"Ben Gordon CHI";464;1069;322;723
"Al Harrington GSW";401;923;248;515
"Ricky Davis MIA";420;971;285;638
"Cuttino Mobley LAC";377;870;310;678
"Travis Outlaw POR";417;964;377;863
"Joe Johnson ATL";647;1497;478;1053
"Andres Nocioni CHI";379;877;253;531
"Rasheed Wallace DET";376;870;264;555
"Wally Szczerbiak CLE-SEA";311;722;221;504
"* Kevin Durant SEA";587;1366;528;1161
"* Al Thornton LAC";374;871;331;741
"* Jeff Green SEA";320;749;299;673
"Baron Davis GSW";650;1526;477;1001
"Louis Williams PHI";319;752;264;599
"Nate Robinson NYK";331;782;234;490
"Raja Bell PHX";317;753;141;314
"Tracy McGrady HOU";548;1307;462;1012
"Michael Finley SAS";315;761;183;404
"Kirk Hinrich CHI";330;797;246;557
"Raymond Felton CHA";412;997;356;797
"Jamal Crawford NYK";570;1391;394;897
"Stephen Jackson GSW";488;1204;306;703
"* Juan Carlos Navarro MEM";308;767;152;335
"Rafer Alston HOU";364;924;221;517
"DeShawn Stevenson WAS";301;780;143;367
"Jason Kidd DAL-NJN";305;793;186;481
"Larry Hughes CHI-CLE";305;801;238;607
