Species;Year;Male;NoDisperse;Mother;Sisters;Bros;ClanSize;AllKin
1;1976;1;1;1;0;1;4;2
1;1976;1;1;1;0;1;4;2
1;1976;1;0;0;0;1;9;1
1;1976;1;1;0;0;0;8;0
1;1976;1;1;1;0;0;8;1
1;1976;1;1;1;0;0;6;1
1;1976;1;0;1;1;0;14;2
1;1976;1;1;1;1;0;13;2
1;1976;1;1;1;3;0;6;4
1;1976;1;0;1;1;0;6;2
1;1976;1;1;0;2;0;9;2
1;1976;1;1;0;0;0;7;0
1;1976;1;1;1;1;1;7;3
1;1976;1;1;1;1;1;7;3
1;1976;1;0;1;2;0;6;3
1;1976;1;0;0;2;0;5;2
1;1977;1;0;1;1;0;7;2
1;1977;1;1;1;0;0;5;1
1;1977;1;1;0;0;0;10;0
1;1977;1;1;1;0;1;15;2
1;1977;1;1;1;0;1;15;2
1;1977;1;1;1;2;0;15;3
1;1977;1;1;1;0;0;5;1
1;1977;1;0;1;1;1;5;3
1;1977;1;1;1;1;0;4;2
1;1977;1;1;1;0;0;7;1
1;1977;1;1;1;1;0;11;2
1;1977;1;1;1;3;0;11;4
1;1977;1;1;1;2;0;15;3
1;1977;1;1;1;2;0;15;3
1;1977;1;1;1;1;0;6;2
1;1977;1;1;0;1;0;10;1
1;1977;1;1;1;1;1;10;3
1;1977;1;1;1;1;1;10;3
1;1977;1;1;1;1;0;7;2
1;1978;1;1;1;1;0;10;2
1;1978;1;1;1;0;0;10;1
1;1978;1;1;1;1;1;5;3
1;1978;1;1;1;1;1;5;3
1;1978;1;1;1;1;0;11;2
1;1978;1;1;1;1;0;11;2
1;1978;1;1;1;0;0;11;1
1;1978;1;1;1;1;0;11;2
1;1978;1;1;1;1;0;5;2
1;1978;1;1;1;2;1;7;4
1;1978;1;1;1;2;1;7;4
1;1978;1;1;1;0;0;10;1
1;1978;1;1;0;0;0;10;0
1;1978;1;1;1;1;2;6;4
1;1978;1;1;1;1;2;6;4
1;1978;1;1;1;1;2;6;4
1;1978;1;1;1;0;0;9;1
1;1979;1;1;1;0;2;16;3
1;1979;1;1;1;0;2;16;3
1;1979;1;1;1;0;2;16;3
1;1979;1;1;0;0;1;16;1
1;1979;1;1;0;0;1;16;1
