"age.at.death";"age";"alive";"male";"height";"weight"
NA;63;1;1;151.765;47.8256065
NA;63;1;0;139.7;36.4858065
NA;65;1;0;136.525;31.864838
72;72;0;0;NA;NA
NA;41;1;1;156.845;53.0419145
NA;51;1;0;145.415;41.276872
NA;35;1;1;163.83;62.992589
NA;32;1;0;149.225;38.2434755
NA;27;1;1;168.91;55.4799715
NA;19;1;0;147.955;34.869885
NA;54;1;1;165.1;54.487739
NA;47;1;0;154.305;49.89512
NA;66;1;1;151.13;41.220173
NA;73;1;0;144.78;36.0322145
NA;20;1;0;149.9;47.7
65.3;65.3;0;0;150.495;33.849303
NA;36;1;1;163.195;48.5626935
NA;44;1;1;157.48;42.3258035
NA;31;1;0;143.9418;38.3568735
NA;12;1;1;121.92;19.617854
NA;8;1;0;105.41;13.947954
6.5;6.5;0;0;86.36;10.489315
NA;39;1;1;161.29;48.987936
NA;29;1;0;156.21;42.7226965
NA;13;1;1;129.54;23.586784
NA;7;1;0;109.22;15.989118
NA;56;1;1;146.4;35.493574
NA;45;1;0;148.59;37.9032815
NA;19;1;0;147.32;35.4652245
NA;17;1;1;137.16;27.328918
NA;16;1;0;125.73;22.6796
NA;11;1;1;114.3;17.860185
NA;29;1;1;147.955;40.312989
NA;30;1;1;161.925;55.111428
NA;24;1;0;146.05;37.5063885
NA;6;1;1;NA;NA
NA;35;1;0;146.05;38.498621
NA;33;1;0;152.7048;46.606578
NA;27;1;0;142.875;38.838815
NA;32;1;0;142.875;35.5786225
NA;36;1;0;147.955;47.400364
NA;24;1;1;160.655;47.8823055
NA;30;1;1;151.765;49.4131785
NA;24;1;1;162.8648;49.384829
NA;52;1;1;171.45;56.5572525
NA;42;1;0;147.32;39.12231
NA;19;1;0;147.955;49.89512
NA;17;1;0;144.78;28.803092
NA;8;1;1;121.92;20.41164
NA;22;1;0;NA;NA
NA;12;1;0;128.905;23.359988
NA;5;1;0;97.79;13.267566
NA;55;1;1;154.305;41.2485225
NA;43;1;0;143.51;38.55532
NA;20;1;1;146.7;42.4
NA;18;1;1;157.48;44.6504625
NA;13;1;1;127;22.0105518
NA;9;1;0;110.49;15.422128
NA;5;1;0;97.79;12.757275
NA;42;1;1;165.735;58.5984165
NA;44;1;0;152.4;46.719976
NA;50;1;1;NA;44.2535695
NA;48;1;0;NA;51.766187
NA;38;1;1;NA;NA
NA;26;1;0;NA;NA
NA;42;1;0;NA;NA
NA;60;1;0;141.605;44.22522
64;64;0;0;NA;NA
NA;20;1;0;158.8;50.9
0.599999999999909;0.599999999999909;0;0;NA;NA
NA;37;1;0;155.575;54.317642
NA;50;1;1;164.465;45.8978405
NA;50;1;0;151.765;48.024053
NA;31;1;1;161.29;52.219779
NA;25;1;0;154.305;47.62716
1;1;0;0;NA;NA
NA;28;1;1;NA;52.843468
NA;23;1;0;145.415;45.642695
NA;52;1;0;145.415;42.410852
NA;19;1;1;NA;53.9
NA;25;1;1;NA;57.8046305
79.3;79.3;0;1;152.4;36.4858065
NA;64;1;0;NA;38.668718
NA;35;1;1;163.83;55.9335635
NA;27;1;0;144.145;37.194544
NA;13;1;1;129.54;24.550667
NA;6;1;0;NA;15.592225
NA;42;1;1;NA;57.492786
NA;31;1;0;NA;39.8310475
NA;14;1;0;129.54;25.627948
NA;8;1;0;NA;15.081934
NA;23;1;0;NA;NA
NA;38;1;1;153.67;48.307548
NA;39;1;0;142.875;37.3362915
NA;33;1;1;NA;63.9848215
NA;31;1;0;NA;44.111822
NA;12;1;0;146.05;29.596878
NA;30;1;1;167.005;47.173568
NA;24;1;0;158.4198;47.286966
