"name";"year";"deaths";"category";"min_pressure";"damage_norm";"female";"femininity"
"Easy";1950;2;3;960;1590;1;6.77778
"King";1950;4;3;955;5350;0;1.38889
"Able";1952;3;1;985;150;0;3.83333
"Barbara";1953;1;1;987;58;1;9.83333
"Florence";1953;0;1;985;15;1;8.33333
"Carol";1954;60;3;960;19321;1;8.11111
"Edna";1954;20;3;954;3230;1;8.55556
"Hazel";1954;20;4;938;24260;1;9.44444
"Connie";1955;0;3;962;2030;1;8.5
"Diane";1955;200;1;987;14730;1;9.88889
"Ione";1955;7;3;960;6200;0;5.94444
"Flossy";1956;15;2;975;1540;1;7
"Helene";1958;1;3;946;540;1;9.88889
"Debra";1959;0;1;984;430;1;9.88889
"Gracie";1959;22;3;950;510;1;9.77778
"Donna";1960;50;4;930;53270;1;9.27778
"Ethel";1960;0;1;981;35;1;8.72222
"Carla";1961;46;4;931;15850;1;9.5
"Cindy";1963;3;1;996;300;1;9.94444
"Cleo";1964;3;2;968;6450;1;7.94444
"Dora";1964;5;2;966;16260;1;9.33333
"Hilda";1964;37;3;950;2770;1;8.83333
"Isbell";1964;3;2;974;800;1;9.44444
"Betsy";1965;75;3;948;20000;1;8.33333
"Alma";1966;6;2;982;730;1;8.77778
"Inez";1966;3;1;983;99;1;8.27778
"Beulah";1967;15;3;950;5060;1;7.27778
"Gladys";1968;3;2;977;800;1;8.94444
"Camille";1969;256;5;909;23040;1;9.05556
"Celia";1970;22;3;945;6870;1;9.44444
"Edith";1971;0;2;978;300;1;8.5
"Fern";1971;2;1;979;500;1;7.38889
"Ginger";1971;0;1;995;200;1;10
"Agnes";1972;117;1;980;20430;1;8.66667
"Carmen";1974;1;3;952;1180;1;8.72222
"Eloise";1975;21;3;955;6190;1;8.94444
"Belle";1976;5;1;980;570;1;10.44444
"Babe";1977;0;1;995;66;1;6.88889
"Bob";1979;1;1;986;70;0;1.66667
"David";1979;15;2;970;2700;0;1.72222
"Frederic";1979;5;3;946;12770;0;2.5
"Allen";1980;2;3;945;2130;0;2.66667
"Alicia";1983;21;3;962;10400;1;9.83333
"Diana";1984;3;2;949;410;1;9.94444
"Bob";1985;0;1;1003;130;0;1.66667
"Danny";1985;1;1;987;160;0;2.22222
"Elena";1985;4;3;959;4180;1;9.72222
"Gloria";1985;8;3;942;3020;1;9.5
"Juan";1985;12;1;971;4730;0;1.94444
"Kate";1985;5;2;967;1310;1;9.66667
"Bonnie";1986;3;1;990;6;1;9.38889
"Charley";1986;5;1;990;58;0;2.88889
"Floyd";1987;0;1;993;1;0;1.83333
"Florence";1988;1;1;984;4;1;8.33333
"Chantal";1989;13;1;986;290;1;9.05556
"Hugo";1989;21;4;934;20020;0;2.88889
"Jerry";1989;3;1;983;230;0;2.33333
"Bob";1991;15;2;962;3620;0;1.66667
"Andrew";1992;62;5;922;66730;0;2.22222
"Emily";1993;3;3;961;96;1;9.83333
"Erin";1995;6;2;973;1650;1;7.22222
"Opal";1995;9;3;942;7550;1;8.5
"Bertha";1996;8;2;974;700;1;8.5
"Fran";1996;26;3;954;8260;1;7.16667
"Danny";1997;10;1;984;200;0;2.22222
"Bonnie";1998;3;2;964;1650;1;9.38889
"Earl";1998;3;1;987;160;0;1.88889
"Georges";1998;1;2;964;3870;0;2.27778
"Bret";1999;0;3;951;94;0;2.33333
"Floyd";1999;56;2;956;8130;0;1.83333
"Irene";1999;8;1;964;1430;1;9.27778
"Lili";2002;2;1;963;1260;1;10.33333
"Claudette";2003;3;1;979;250;1;9.16667
"Isabel";2003;51;2;957;4980;1;9.38889
"Alex";2004;1;1;972;5;0;4.16667
"Charley";2004;10;4;941;20510;0;2.88889
"Frances";2004;7;2;960;12620;1;6
"Gaston";2004;8;1;985;170;0;2.66667
"Ivan";2004;25;3;946;18590;0;1.05556
"Jeanne";2004;5;3;950;10210;1;8.5
"Cindy";2005;1;1;991;350;1;9.94444
"Dennis";2005;15;3;946;2650;0;2.44444
"Ophelia";2005;1;1;982;91;1;9.16667
"Rita";2005;62;3;937;10690;1;9.5
"Wilma";2005;5;3;950;25960;1;8.61111
"Humberto";2007;1;1;985;51;0;2.38889
"Dolly";2008;1;1;967;1110;1;9.83333
"Gustav";2008;52;2;954;4360;0;1.72222
"Ike";2008;84;2;950;20370;0;1.88889
"Irene";2011;41;1;952;7110;1;9.27778
"Isaac";2012;5;1;966;24000;0;1.94444
"Sandy";2012;159;2;942;75000;1;9
