"polity";"year";"population";"moralizing_gods";"writing"
"Big Island Hawaii";1000;3.72964309358953;NA;0
"Big Island Hawaii";1100;3.72964309358953;NA;0
"Big Island Hawaii";1200;3.59834039052026;NA;0
"Big Island Hawaii";1300;4.02623961754708;NA;0
"Big Island Hawaii";1400;4.31176726962931;NA;0
"Big Island Hawaii";1500;4.20511271101489;NA;0
"Big Island Hawaii";1600;4.37395951400149;NA;0
"Big Island Hawaii";1700;5.15759323618848;NA;0
"Big Island Hawaii";1800;4.99743918309294;1;0
"Cahokia";-600;1.54754250295247;NA;0
"Cahokia";-500;1.54754250295247;NA;0
"Cahokia";-400;1.54754250295247;NA;0
"Cahokia";-300;1.54754250295247;NA;0
"Cahokia";-200;1.54754250295247;NA;0
"Cahokia";-100;1.66117630104141;NA;0
"Cahokia";0;1.66117630104141;NA;0
"Cahokia";100;1.66117630104141;NA;0
"Cahokia";200;1.66117630104141;NA;0
"Cahokia";300;1.53732558384119;NA;0
"Cahokia";400;1.53732558384119;NA;0
"Cahokia";500;1.73787558741576;NA;0
"Cahokia";600;1.56840247443161;NA;0
"Cahokia";700;1.56840247443161;NA;0
"Cahokia";800;2.66648922998353;NA;0
"Cahokia";900;2.66975353960208;NA;0
"Cahokia";1000;2.66975353960208;NA;0
"Cahokia";1100;4.62485085971008;NA;0
"Cahokia";1200;4.63825376825975;NA;0
"Cahokia";1300;4.08909967933287;NA;0
"Cahokia";1400;2.64097674977962;NA;0
"Cahokia";1500;2.64097674977962;NA;0
"Cahokia";1600;3.15491454555463;NA;0
"Cahokia";1700;3.93955610767458;NA;0
"Cambodian Basin";300;5.80037047177802;1;1
"Cambodian Basin";400;5.80037047177802;1;1
"Cambodian Basin";500;5.80037047177802;1;1
"Cambodian Basin";600;5.14146760686856;1;1
"Cambodian Basin";700;6.08684672023114;1;1
"Cambodian Basin";800;6.58848917354358;1;1
"Cambodian Basin";900;7.04980166483458;1;1
"Cambodian Basin";1000;6.76808247129697;1;1
"Cambodian Basin";1100;6.17609125905568;1;1
"Cambodian Basin";1200;6.17609125905568;1;1
"Cambodian Basin";1300;6.17609125905568;1;1
"Cambodian Basin";1400;6.17609125905568;1;1
"Cambodian Basin";1500;5.92285279292595;1;1
"Cambodian Basin";1600;6.07549402523253;1;1
"Cambodian Basin";1700;6.71616714169996;1;1
"Cambodian Basin";1800;6.63579299374782;1;1
"Central Java";800;5.42448593419823;1;1
"Central Java";900;5.42448593419823;1;1
"Central Java";1000;5.42448593419823;1;1
"Central Java";1100;5.36587756840351;1;1
"Central Java";1200;5.51224963089297;1;1
"Central Java";1300;6.69897000433602;1;1
"Central Java";1400;6.69897000433602;1;1
"Central Java";1500;6.69897000433602;1;1
"Central Java";1600;6.50009637891166;1;1
"Central Java";1700;6.50009637891166;1;1
"Chuuk Islands";1800;3.52964504793823;1;0
"Chuuk Islands";1900;3.96378782734556;1;1
"Cuzco";100;5.04993837130955;NA;0
"Cuzco";200;4.14153036924749;NA;0
"Cuzco";300;3.70901539405668;NA;0
"Cuzco";400;4.09208548642811;NA;0
"Cuzco";500;3.89006326902416;NA;0
"Cuzco";600;3.89006326902416;NA;0
"Cuzco";700;5.5186355523813;NA;0
"Cuzco";800;5.5186355523813;NA;0
"Cuzco";900;5.5186355523813;NA;0
"Cuzco";1000;5.79896639595263;NA;0
"Cuzco";1100;5.79896639595263;NA;0
"Cuzco";1200;5.79896639595263;NA;0
"Cuzco";1300;4.33952589396435;NA;0
"Cuzco";1400;7.49949918587256;0;0
"Cuzco";1500;6.91339943653105;0;0
"Deccan";-2700;3.38657596824423;NA;0
"Deccan";-2600;3.38657596824423;NA;0
"Deccan";-2500;3.38657596824423;NA;0
"Deccan";-2400;3.38657596824423;NA;0
"Deccan";-2300;3.38657596824423;NA;0
"Deccan";-2200;3.38657596824423;NA;0
"Deccan";-2100;3.38657596824423;NA;0
"Deccan";-2000;3.38657596824423;NA;0
"Deccan";-1900;3.38657596824423;NA;0
"Deccan";-1800;3.38657596824423;NA;0
"Deccan";-1700;3.38657596824423;NA;0
"Deccan";-1600;3.38657596824423;NA;0
"Deccan";-1500;3.38657596824423;NA;0
"Deccan";-1400;3.38657596824423;NA;0
"Deccan";-1300;3.38657596824423;NA;0
"Deccan";-1200;2.85912643338163;NA;0
"Deccan";-1100;2.85912643338163;NA;0
"Deccan";-1000;2.85912643338163;NA;0
"Deccan";-900;3.97695952055146;NA;0
"Deccan";-800;3.97695952055146;NA;0
"Deccan";-700;3.97695952055146;NA;0
"Deccan";-600;3.97695952055146;NA;0
"Deccan";-500;4.30993736093004;NA;0
"Deccan";-400;4.30993736093004;NA;0
"Kachi Plain";-300;7.25527250510331;1;1
"Deccan";-200;4.30993736093004;NA;0
"Deccan";-100;6.87412462769497;1;1
"Deccan";0;6.89362680327446;1;1
"Deccan";100;6.95513575878897;1;1
"Deccan";200;6.96868890113142;1;1
"Deccan";300;6.83223543683406;1;1
"Deccan";500;5.83340758504783;1;1
"Deccan";600;6.61981973554485;1;1
"Deccan";700;6.81185389544888;1;1
"Deccan";800;6.75986616453522;1;1
"Deccan";900;6.74987515985755;1;1
"Deccan";1000;6.88675064987804;1;1
"Deccan";1200;6.57342177062419;1;1
"Deccan";1300;6.01214640703827;1;1
"Deccan";1400;7.39794000867204;1;1
"Deccan";1500;7.39794000867204;1;1
"Deccan";1600;7.39794000867204;1;1
"Kachi Plain";1700;8.11114423903886;1;1
"Finger Lakes";1600;3.74036268949424;NA;0
"Finger Lakes";1700;4.84899045723984;NA;0
"Garo Hills";1800;3.44015771064837;0;0
"Ghanaian Coast";1600;5.07297005785592;1;0
"Ghanaian Coast";1700;5.07297005785592;1;0
"Ghanaian Coast";1800;6.08572724536879;1;1
"Iceland";1000;3.94316003993548;1;0
"Iceland";1100;4.49136169383427;1;0
"Iceland";1200;4.42296520956567;1;1
"Iceland";1300;4.73227062015047;1;1
"Kachi Plain";-7500;3.18165332339547;NA;0
"Kachi Plain";-7400;3.18165332339547;NA;0
"Kachi Plain";-7300;3.18165332339547;NA;0
"Kachi Plain";-7200;3.18165332339547;NA;0
"Kachi Plain";-7100;3.18165332339547;NA;0
"Kachi Plain";-7000;3.18165332339547;NA;0
"Kachi Plain";-6900;3.18165332339547;NA;0
"Kachi Plain";-6800;3.18165332339547;NA;0
"Kachi Plain";-6700;3.18165332339547;NA;0
"Kachi Plain";-6600;3.18165332339547;NA;0
"Kachi Plain";-6500;3.18165332339547;NA;0
"Kachi Plain";-6400;3.18165332339547;NA;0
"Kachi Plain";-6300;3.18165332339547;NA;0
"Kachi Plain";-6200;3.18165332339547;NA;0
"Kachi Plain";-6100;3.18165332339547;NA;0
"Kachi Plain";-6000;3.18165332339547;NA;0
"Kachi Plain";-5900;3.18165332339547;NA;0
"Kachi Plain";-5800;3.18165332339547;NA;0
"Kachi Plain";-5700;3.18165332339547;NA;0
"Kachi Plain";-5600;3.18165332339547;NA;0
"Kachi Plain";-5500;2.67786540933226;NA;0
"Kachi Plain";-5400;2.67786540933226;NA;0
"Kachi Plain";-5300;2.67786540933226;NA;0
"Kachi Plain";-5200;2.67786540933226;NA;0
"Kachi Plain";-5100;2.67786540933226;NA;0
"Kachi Plain";-5000;2.67786540933226;NA;0
"Kachi Plain";-4900;2.67786540933226;NA;0
"Kachi Plain";-4800;2.67786540933226;NA;0
"Kachi Plain";-4700;2.67786540933226;NA;0
"Kachi Plain";-4600;2.67786540933226;NA;0
"Kachi Plain";-4500;2.67786540933226;NA;0
"Kachi Plain";-4400;2.67786540933226;NA;0
"Kachi Plain";-4300;2.67786540933226;NA;0
"Kachi Plain";-4200;2.67786540933226;NA;0
"Kachi Plain";-4100;2.67786540933226;NA;0
"Kachi Plain";-4000;4.18697799128139;NA;0
"Kachi Plain";-3900;4.18697799128139;NA;0
"Kachi Plain";-3800;4.18697799128139;NA;0
"Kachi Plain";-3700;4.18697799128139;NA;0
"Kachi Plain";-3600;4.18697799128139;NA;0
"Kachi Plain";-3500;4.18697799128139;NA;0
"Kachi Plain";-3400;4.18697799128139;NA;0
"Kachi Plain";-3300;4.18697799128139;NA;0
"Kachi Plain";-3200;2.7197960879911;NA;0
"Kachi Plain";-3100;2.7197960879911;NA;0
"Kachi Plain";-3000;2.7197960879911;NA;0
"Kachi Plain";-2900;2.7197960879911;NA;0
"Kachi Plain";-2800;2.7197960879911;NA;0
"Kachi Plain";-2700;2.7197960879911;NA;0
"Kachi Plain";-2600;2.7197960879911;NA;0
"Kachi Plain";-2500;5.99751557206898;NA;1
"Kachi Plain";-2400;5.99751557206898;NA;1
"Kachi Plain";-2300;5.99751557206898;NA;1
"Kachi Plain";-2200;5.99751557206898;NA;1
"Kachi Plain";-2100;5.99751557206898;NA;1
"Kachi Plain";-2000;5.99751557206898;NA;1
"Kachi Plain";-1900;5.99751557206898;NA;1
"Kachi Plain";-1800;3.35104113238292;NA;0
"Kachi Plain";-1700;3.35104113238292;NA;0
"Kachi Plain";-1600;3.35104113238292;NA;0
"Kachi Plain";-1500;3.35104113238292;NA;0
"Kachi Plain";-1400;3.35104113238292;NA;0
"Kachi Plain";-1300;5.31098272262256;NA;0
"Kachi Plain";-1200;5.31098272262256;NA;0
"Kachi Plain";-1100;5.31098272262256;NA;0
"Kachi Plain";-1000;5.31098272262256;NA;0
"Kachi Plain";-900;5.31098272262256;NA;0
"Kachi Plain";-800;5.31098272262256;NA;0
"Kachi Plain";-700;5.31098272262256;NA;0
"Kachi Plain";-600;5.31098272262256;NA;0
"Susiana";-500;7.35258451398893;1;1
"Susiana";-400;7.20742550391035;1;1
"Kachi Plain";-300;7.25527250510331;1;1
"Kachi Plain";-200;7.25527250510331;1;1
"Kachi Plain";-100;6.33053539763283;1;1
"Susiana";0;7.17609125905568;1;1
"Sogdiana";100;7.18590197388978;1;1
"Sogdiana";200;6.65263619555617;1;1
"Susiana";300;6.69897000433602;1;1
"Susiana";400;6.69897000433602;1;1
"Sogdiana";500;7.42324587393681;1;1
"Susiana";600;7.34439227368511;1;1
"Susiana";700;7.42138280472106;1;1
"Susiana";800;7.46997409592485;1;1
"Kachi Plain";900;6;1;1
"Kachi Plain";1000;6;1;1
"Kachi Plain";1100;6;1;1
"Kachi Plain";1200;7.37724103022504;1;1
"Kachi Plain";1300;6;1;1
"Kachi Plain";1400;6.07258332428099;1;1
"Kachi Plain";1500;6.34242268082221;1;1
"Kachi Plain";1600;6.04428345649756;1;1
"Kachi Plain";1700;8.11114423903886;1;1
"Kachi Plain";1800;6.18171262261756;1;1
"Kansai";-300;3.38872418052871;NA;0
"Kansai";-200;3.38872418052871;NA;0
"Kansai";-100;3.38872418052871;NA;0
"Kansai";0;3.38872418052871;NA;0
"Kansai";100;3.38872418052871;NA;0
"Kansai";200;3.38872418052871;NA;0
"Kansai";300;5.29916133360579;NA;0
"Kansai";400;5.42934165588559;NA;1
"Kansai";500;5.5082236242031;NA;1
"Kansai";600;6.25810023623544;1;1
"Kansai";700;6.35230414901863;1;1
"Kansai";800;6.60205999132796;1;1
"Kansai";900;6.71887797242109;1;1
"Kansai";1000;6.68211139162811;1;1
"Kansai";1100;6.795667448338;1;1
"Kansai";1200;6.78421295023101;1;1
"Kansai";1300;6.76461325972591;1;1
"Kansai";1400;7.09691001300806;1;1
"Kansai";1500;7.23044892137827;1;1
"Kansai";1600;7.39794000867204;1;1
"Kansai";1700;7.46239799789896;1;1
"Kansai";1800;7.50514997831991;1;1
"Kapuasi Basin";1700;2.69897000433602;1;0
"Kapuasi Basin";1800;2.69897000433602;1;0
"Kapuasi Basin";1900;4.80986110039787;1;0
"Konya Plain";-9600;2.6146965456554;NA;0
"Konya Plain";-9500;2.6146965456554;NA;0
"Konya Plain";-9400;2.6146965456554;NA;0
"Konya Plain";-9300;2.6146965456554;NA;0
"Konya Plain";-9200;2.6146965456554;NA;0
"Konya Plain";-9100;2.6146965456554;NA;0
"Konya Plain";-9000;2.6146965456554;NA;0
"Konya Plain";-8900;2.6146965456554;NA;0
"Konya Plain";-8800;2.6146965456554;NA;0
"Konya Plain";-8700;2.6146965456554;NA;0
"Konya Plain";-8600;2.6146965456554;NA;0
"Konya Plain";-8500;2.6146965456554;NA;0
"Konya Plain";-8400;2.6146965456554;NA;0
"Konya Plain";-8300;2.6146965456554;NA;0
"Konya Plain";-8200;2.6146965456554;NA;0
"Konya Plain";-8100;2.6146965456554;NA;0
"Konya Plain";-8000;2.6146965456554;NA;0
"Konya Plain";-7900;2.6146965456554;NA;0
"Konya Plain";-7800;2.6146965456554;NA;0
"Konya Plain";-7700;2.6146965456554;NA;0
"Konya Plain";-7600;2.6146965456554;NA;0
"Konya Plain";-7500;2.6146965456554;NA;0
"Konya Plain";-7400;2.6146965456554;NA;0
"Konya Plain";-7300;2.6146965456554;NA;0
"Konya Plain";-7200;2.6146965456554;NA;0
"Konya Plain";-7100;2.6146965456554;NA;0
"Konya Plain";-7000;3.90850860075073;NA;0
"Konya Plain";-6900;3.90850860075073;NA;0
"Konya Plain";-6800;3.90850860075073;NA;0
"Konya Plain";-6700;3.90850860075073;NA;0
"Konya Plain";-6600;3.55053143846799;NA;0
"Konya Plain";-6500;3.55053143846799;NA;0
"Konya Plain";-6400;3.55053143846799;NA;0
"Konya Plain";-6300;3.55053143846799;NA;0
"Konya Plain";-6200;3.55053143846799;NA;0
"Konya Plain";-6100;3.55053143846799;NA;0
"Konya Plain";-6000;3.55580624407502;NA;0
"Konya Plain";-5900;3.55580624407502;NA;0
"Konya Plain";-5800;3.55580624407502;NA;0
"Konya Plain";-5700;3.55580624407502;NA;0
"Konya Plain";-5600;3.55580624407502;NA;0
"Konya Plain";-5000;2.73477969554298;NA;0
"Konya Plain";-4900;2.73477969554298;NA;0
"Konya Plain";-4800;2.73477969554298;NA;0
"Konya Plain";-4700;2.73477969554298;NA;0
"Konya Plain";-4600;2.73477969554298;NA;0
"Konya Plain";-4500;2.73477969554298;NA;0
"Konya Plain";-4400;2.73477969554298;NA;0
"Konya Plain";-4300;2.73477969554298;NA;0
"Konya Plain";-4200;2.73477969554298;NA;0
"Konya Plain";-4100;2.73477969554298;NA;0
"Konya Plain";-4000;2.73477969554298;NA;0
"Konya Plain";-3900;2.73477969554298;NA;0
"Konya Plain";-3800;2.73477969554298;NA;0
"Konya Plain";-3700;2.73477969554298;NA;0
"Konya Plain";-3600;2.73477969554298;NA;0
"Konya Plain";-3500;2.73477969554298;NA;0
"Konya Plain";-3400;2.73477969554298;NA;0
"Konya Plain";-3300;2.73477969554298;NA;0
"Konya Plain";-3200;2.73477969554298;NA;0
"Konya Plain";-3100;2.73477969554298;NA;0
"Konya Plain";-3000;5.38859225785205;NA;0
"Konya Plain";-2900;5.38859225785205;NA;0
"Konya Plain";-2800;5.38859225785205;NA;0
"Konya Plain";-2700;5.38859225785205;NA;0
"Konya Plain";-2600;5.38859225785205;NA;0
"Konya Plain";-2500;5.38859225785205;NA;0
"Konya Plain";-2400;5.38859225785205;NA;0
"Konya Plain";-2300;5.38859225785205;NA;0
"Konya Plain";-2200;5.38859225785205;NA;0
"Konya Plain";-2100;5.38859225785205;NA;0
"Konya Plain";-2000;5.00356577316624;NA;1
"Konya Plain";-1900;5.00356577316624;NA;1
"Konya Plain";-1800;5.00356577316624;NA;1
"Konya Plain";-1700;5.00356577316624;NA;1
"Konya Plain";-1600;6.04951412760099;1;1
"Konya Plain";-1500;5.52473071480019;1;1
"Konya Plain";-1400;5.52473071480019;1;1
"Konya Plain";-1300;6.23087144784055;1;1
"Konya Plain";-1200;6.23087144784055;1;1
"Konya Plain";-1100;5.20289930131292;1;1
"Konya Plain";-1000;5.20289930131292;1;1
"Konya Plain";-900;5.11549500287523;1;1
"Konya Plain";-800;6.16684355316448;NA;1
"Konya Plain";-700;6.16684355316448;NA;1
"Konya Plain";-600;6.36694031850193;NA;1
"Susiana";-500;7.35258451398893;1;1
"Susiana";-400;7.20742550391035;1;1
"Konya Plain";-300;6.3998254357995;1;1
"Susiana";-200;4.91090596427815;1;1
"Konya Plain";-100;5.51335297144578;1;1
"Latium";0;7.69897000433602;1;1
"Latium";100;7.74094284872473;1;1
"Latium";200;7.77959698930288;1;1
"Konya Plain";300;7.72792208605444;1;1
"Konya Plain";400;7.17609125905568;1;1
"Konya Plain";500;7.30102999566398;1;1
"Konya Plain";600;7.04139268515823;1;1
"Konya Plain";700;6.65321251377534;1;1
"Konya Plain";800;6.69897000433602;1;1
"Konya Plain";900;6.93999029169609;1;1
"Konya Plain";1000;7.12513692412954;1;1
"Konya Plain";1100;6.25367022174454;1;1
"Konya Plain";1200;6.25367022174454;1;1
"Susiana";1300;6.72015930340596;1;1
"Konya Plain";1400;6.84509804001426;1;1
"Konya Plain";1500;6.95424250943933;1;1
"Konya Plain";1600;7.44715803134222;1;1
"Konya Plain";1700;7.38021124171161;1;1
"Konya Plain";1800;7.38021124171161;1;1
"Latium";-3600;2.3995659670886;NA;0
"Latium";-3500;2.3995659670886;NA;0
"Latium";-3400;2.3995659670886;NA;0
"Latium";-3300;2.3995659670886;NA;0
"Latium";-3200;2.3995659670886;NA;0
"Latium";-3100;2.3995659670886;NA;0
"Latium";-3000;2.3995659670886;NA;0
"Latium";-2900;2.3995659670886;NA;0
"Latium";-2800;2.3995659670886;NA;0
"Latium";-2700;2.3995659670886;NA;0
"Latium";-2600;2.3995659670886;NA;0
"Latium";-2500;2.3995659670886;NA;0
"Latium";-2400;2.3995659670886;NA;0
"Latium";-2300;2.3995659670886;NA;0
"Latium";-2200;2.3995659670886;NA;0
"Latium";-2100;2.3995659670886;NA;0
"Latium";-2000;2.3995659670886;NA;0
"Latium";-1900;2.3995659670886;NA;0
"Latium";-1800;2.88880277400692;NA;0
"Latium";-1700;2.88880277400692;NA;0
"Latium";-1600;2.88880277400692;NA;0
"Latium";-1500;2.88880277400692;NA;0
"Latium";-1400;2.88880277400692;NA;0
"Latium";-1300;2.88880277400692;NA;0
"Latium";-1200;3.23075221333526;NA;0
"Latium";-1100;3.23075221333526;NA;0
"Latium";-1000;2.57664081372526;NA;0
"Latium";-900;2.57664081372526;NA;0
"Latium";-800;3.38051750680816;NA;0
"Latium";-700;4.49030098188944;NA;1
"Latium";-600;4.49030098188944;NA;1
