"Subject";"age";"height";"Occasion"
"1";-1;140.5;"1"
"1";-0.7479;143.4;"2"
"1";-0.463;144.8;"3"
"1";-0.1643;147.1;"4"
"1";-0.0027;147.7;"5"
"1";0.2466;150.2;"6"
"1";0.5562;151.7;"7"
"1";0.7781;153.3;"8"
"1";0.9945;155.8;"9"
"2";-1;136.9;"1"
"2";-0.7479;139.1;"2"
"2";-0.463;140.1;"3"
"2";-0.1643;142.6;"4"
"2";-0.0027;143.2;"5"
"2";0.2466;144;"6"
"2";0.5562;145.8;"7"
"2";0.7781;146.8;"8"
"2";0.9945;148.3;"9"
"3";-1;150;"1"
"3";-0.7479;152.1;"2"
"3";-0.463;153.9;"3"
"3";-0.1643;155.8;"4"
"3";-0.0027;156;"5"
"3";0.2466;156.9;"6"
"3";0.5562;157.4;"7"
"3";0.7781;159.1;"8"
"3";0.9945;160.6;"9"
"4";-1;155.7;"1"
"4";-0.7479;158.7;"2"
"4";-0.463;160.6;"3"
"4";-0.1643;163.3;"4"
"4";-0.0027;164.4;"5"
"4";0.2466;167.3;"6"
"4";0.5562;170.7;"7"
"4";0.7781;172;"8"
"4";0.9945;174.8;"9"
"5";-1;145.8;"1"
"5";-0.7479;147.3;"2"
"5";-0.4493;148.7;"3"
"5";-0.1643;149.78;"4"
"5";-0.0027;150.22;"5"
"5";0.2466;152.5;"6"
"5";0.5562;154.8;"7"
"5";0.7781;156.4;"8"
"5";0.9973;158.7;"9"
"6";-1;142.4;"1"
"6";-0.7479;143.8;"2"
"6";-0.463;145.2;"3"
"6";-0.1643;146.3;"4"
"6";-0.0027;147.1;"5"
"6";0.2466;148.1;"6"
"6";0.5562;148.9;"7"
"6";0.7781;149.1;"8"
"6";0.9945;151;"9"
"7";-1;141.3;"1"
"7";-0.7479;142.4;"2"
"7";-0.4493;144.3;"3"
"7";-0.1643;145.2;"4"
"7";0;146.1;"5"
"7";0.2466;146.8;"6"
"7";0.5562;147.9;"7"
"7";0.7945;150.5;"8"
"7";0.9945;151.8;"9"
"8";-1;141.7;"1"
"8";-0.7479;143.7;"2"
"8";-0.463;145.1;"3"
"8";-0.1643;147.9;"4"
"8";-0.0027;148.1;"5"
"8";0.2466;149.6;"6"
"8";0.5562;150.99;"7"
"8";0.7945;154.1;"8"
"8";1.0055;154.9;"9"
"9";-1;132.7;"1"
"9";-0.7479;134.1;"2"
"9";-0.4493;135.3;"3"
"9";-0.1643;136.6;"4"
"9";-0.0027;137.5;"5"
"9";0.2466;139.1;"6"
"9";0.5562;140.9;"7"
"9";0.7945;143.7;"8"
"9";0.9945;144.7;"9"
"10";-1;126.2;"1"
"10";-0.7479;128.2;"2"
"10";-0.463;129;"3"
"10";-0.1643;129.4;"4"
"10";-0.0027;129.59;"5"
"10";0.2466;130.6;"6"
"10";0.5562;132.5;"7"
"10";0.7781;133.4;"8"
"10";0.9945;134.2;"9"
"11";-1;142.5;"1"
"11";-0.7479;143.8;"2"
"11";-0.463;145.6;"3"
"11";-0.1643;148.3;"4"
"11";-0.0027;149.4;"5"
"11";0.2466;151.6;"6"
"11";0.5562;154.8;"7"
"11";0.7781;156.9;"8"
"11";0.9945;159.2;"9"
"12";-1;149.9;"1"
"12";-0.7479;151.7;"2"
"12";-0.463;153.3;"3"
"12";-0.1643;156.1;"4"
"12";0;156.7;"5"
"12";0.2466;157.8;"6"
"12";0.5562;160.7;"7"
"12";0.7781;162.7;"8"
"12";0.9945;163.8;"9"
"13";-1;148.9;"1"
"13";-0.715;149.8;"2"
"13";-0.463;151.7;"3"
"13";-0.1643;154.4;"4"
"13";-0.0027;155.5;"5"
"13";0.2466;156.4;"6"
"13";0.5562;161.4;"7"
"13";0.7781;163.9;"8"
"13";0.9945;164.6;"9"
"14";-1;151.6;"1"
"14";-0.7479;153.2;"2"
"14";-0.463;155.2;"3"
"14";-0.1643;157.3;"4"
"14";0;159.1;"5"
"14";0.2466;160.9;"6"
"14";0.5562;164.4;"7"
"14";0.7781;166.9;"8"
"14";0.9945;168.4;"9"
"15";-1;137.5;"1"
"15";-0.7479;139.3;"2"
"15";-0.463;140.9;"3"
"15";-0.1643;142.7;"4"
"15";-0.0027;144.2;"5"
"15";0.2466;145.7;"6"
"15";0.5562;147.09;"7"
"15";0.7781;150.2;"8"
"15";0.9945;152.3;"9"
"16";-1;142.8;"1"
"16";-0.7479;144.9;"2"
"16";-0.463;145;"3"
"16";-0.1643;146.7;"4"
"16";-0.0027;147.2;"5"
"16";0.2466;148.9;"6"
"16";0.5562;150.1;"7"
"16";0.7781;151;"8"
"16";0.9945;152.2;"9"
"17";-1;134.9;"1"
"17";-0.7479;137.4;"2"
"17";-0.463;138.2;"3"
"17";-0.1643;140.2;"4"
"17";-0.0027;143.6;"5"
"17";0.2466;144.2;"6"
"17";0.5562;147.9;"7"
"17";0.7781;150.3;"8"
"17";0.9945;151.8;"9"
"18";-1;145.5;"1"
"18";-0.7479;146.2;"2"
"18";-0.463;148.2;"3"
"18";-0.1643;150.3;"4"
"18";-0.0027;152;"5"
"18";0.2466;152.3;"6"
"18";0.5562;154.3;"7"
"18";0.7781;156.2;"8"
"18";0.9945;156.8;"9"
"19";-1;156.9;"1"
"19";-0.7479;157.9;"2"
"19";-0.463;160.3;"3"
"19";-0.1643;161.9;"4"
"19";0;163.8;"5"
"19";0.2466;165.5;"6"
"19";0.5562;169.9;"7"
"19";0.7781;172.4;"8"
"19";0.9945;174.4;"9"
"20";-1;146.5;"1"
"20";-0.7479;148.4;"2"
"20";-0.463;149.3;"3"
"20";-0.1643;151.2;"4"
"20";-0.0027;152.1;"5"
"20";0.2466;152.4;"6"
"20";0.5562;153.9;"7"
"20";0.7781;154.9;"8"
"20";0.9945;155.4;"9"
"21";-1;143.9;"1"
"21";-0.7479;145.1;"2"
"21";-0.463;147;"3"
"21";-0.1643;149.2;"4"
"21";-0.0027;149.8;"5"
"21";0.2466;151.5;"6"
"21";0.5562;153.17;"7"
"21";0.7781;156.9;"8"
"21";0.9945;159.6;"9"
"22";-1;147.4;"1"
"22";-0.7479;148.8;"2"
"22";-0.463;150.1;"3"
