"chimpanzee";"age";"sex";"hammer";"nuts_opened";"seconds";"help"
11;3;"m";"G";0;61;"N"
11;3;"m";"G";0;37;"N"
18;4;"f";"wood";0;20;"N"
18;4;"f";"G";0;14;"y"
18;4;"f";"L";0;13;"N"
11;4;"m";"Q";0;24;"N"
11;4;"m";"Q";0;30.5;"N"
17;5;"f";"wood";0;135;"N"
7;5;"m";"G";3;24;"N"
1;5;"m";"L";0;13;"N"
22;5;"m";"wood";0;34;"N"
9;6;"m";"G";58;66.5;"N"
9;6;"m";"G";4;5;"N"
9;6;"m";"G";21;24;"N"
9;6;"m";"G";9;20;"N"
9;6;"m";"G";2;6;"N"
9;6;"m";"G";30;42;"N"
9;6;"m";"G";19;43;"N"
9;6;"m";"G";13;26.5;"N"
9;6;"m";"G";6;14;"N"
15;6;"m";"G";11;27;"N"
7;6;"m";"G";1;12;"y"
9;6;"m";"G";2;17;"N"
1;6;"m";"L";0;4;"N"
7;6;"m";"G";1;17;"N"
13;6;"m";"wood";0;17;"N"
13;6;"m";"G";0;15;"N"
7;6;"m";"G";0;12;"y"
13;6;"m";"G";0;23;"y"
7;6;"m";"wood";0;47;"N"
3;7;"f";"G";4;23;"N"
3;7;"f";"L";0;16;"N"
3;7;"f";"L";0;13.5;"N"
19;7;"m";"G";8;16;"N"
9;7;"m";"G";10;23.5;"N"
9;7;"m";"G";11;33;"N"
9;7;"m";"G";1;3;"N"
16;8;"f";"G";4;12;"N"
2;8;"f";"G";2;10.5;"N"
2;8;"f";"G";1;12;"N"
16;8;"f";"G";0;7.5;"N"
16;8;"f";"G";0;32;"N"
9;8;"m";"G";36;38;"N"
19;8;"m";"G";4;9;"y"
9;8;"m";"G";16;13;"N"
9;8;"m";"G";77;59;"N"
9;8;"m";"G";41;40;"N"
19;8;"m";"G";22;36;"N"
9;8;"m";"G";49;51;"N"
19;8;"m";"G";37;60;"N"
19;8;"m";"G";31;71;"y"
19;8;"m";"G";11;14;"N"
9;8;"m";"G";5;10;"N"
19;8;"m";"G";8;33;"y"
9;8;"m";"L";0;11;"N"
4;9;"f";"G";1;4.5;"N"
4;9;"f";"wood";0;17;"N"
9;9;"m";"G";30;47;"N"
9;9;"m";"G";13;24;"N"
9;9;"m";"G";15;34.5;"N"
4;10;"f";"G";0;2.5;"N"
8;11;"f";"G";4;13;"N"
14;12;"f";"G";10;10;"N"
21;13;"f";"G";5;13;"N"
12;13;"m";"G";51;43;"N"
5;13;"m";"G";3;6;"N"
5;13;"m";"G";4;6.5;"N"
20;14;"m";"G";50;50;"N"
20;14;"m";"G";36;48;"N"
20;14;"m";"G";6;14.5;"N"
20;14;"m";"G";3;8.5;"N"
20;14;"m";"G";4;15;"N"
20;14;"m";"G";7;17;"N"
20;15;"m";"G";41;56.5;"N"
10;15;"m";"G";27;33;"N"
6;15;"m";"G";30;36;"N"
20;15;"m";"G";17;42;"N"
20;15;"m";"G";14;23;"N"
6;15;"m";"G";16;20;"N"
10;15;"m";"G";7;12;"N"
10;15;"m";"G";5;12.5;"N"
6;15;"m";"G";8;13;"N"
6;16;"m";"G";24;20;"N"
6;16;"m";"G";25;36;"N"
