"name";"genus";"species";"subspecies";"spp_id";"genus_id";"social_learning";"research_effort";"brain";"body";"group_size";"gestation";"weaning";"longevity";"sex_maturity";"maternal_investment"
"Allenopithecus_nigroviridis";"Allenopithecus";"nigroviridis";NA;1;1;0;6;58.02;4655;40;NA;106.15;276;NA;NA
"Allocebus_trichotis";"Allocebus";"trichotis";NA;2;2;0;6;NA;78.09;1;NA;NA;NA;NA;NA
"Alouatta_belzebul";"Alouatta";"belzebul";NA;3;3;0;15;52.84;6395;7.4;NA;NA;NA;NA;NA
"Alouatta_caraya";"Alouatta";"caraya";NA;4;3;0;45;52.63;5383;8.9;185.92;323.16;243.6;1276.72;509.08
"Alouatta_guariba";"Alouatta";"guariba";NA;5;3;0;37;51.7;5175;7.4;NA;NA;NA;NA;NA
"Alouatta_palliata";"Alouatta";"palliata";NA;6;3;3;79;49.88;6250;13.1;185.42;495.6;300;1578.42;681.02
"Alouatta_pigra";"Alouatta";"pigra";NA;7;3;0;25;51.13;8915;5.5;185.92;NA;240;NA;NA
"Alouatta_sara";"Alouatta";"sara";NA;8;3;0;4;59.08;6611.04;NA;NA;NA;NA;NA;NA
"Alouatta_seniculus";"Alouatta";"seniculus";NA;9;3;0;82;55.22;5950;7.9;189.9;370.04;300;1690.22;559.94
"Aotus_azarai";"Aotus";"azarai";NA;10;4;0;22;20.67;1205;4.1;NA;229.69;NA;NA;NA
"Aotus_azarai_boliviensis";"Aotus";"azarai";"boliviensis";11;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Aotus_brumbacki";"Aotus";"brumbacki";NA;12;4;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Aotus_infulatus";"Aotus";"infulatus";NA;13;4;0;6;NA;NA;NA;NA;NA;NA;NA;NA
"Aotus_lemurinus";"Aotus";"lemurinus";NA;14;4;0;16;16.3;734;NA;132.23;74.57;216;755.15;206.8
"Aotus_lemurinus_griseimembra";"Aotus";"lemurinus";"griseimembra";15;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Aotus_nancymaae";"Aotus";"nancymaae";NA;16;4;0;5;NA;791.03;4;NA;NA;NA;NA;NA
"Aotus_nigriceps";"Aotus";"nigriceps";NA;17;4;0;1;NA;958;3.3;NA;NA;NA;NA;NA
"Aotus_trivirgatus";"Aotus";"trivirgatus";NA;18;4;0;58;16.85;989;3.15;133.47;76.21;303.6;736.6;209.68
"Aotus_vociferans";"Aotus";"vociferans";NA;19;4;0;12;NA;703;3.3;NA;NA;NA;NA;NA
"Archaeolemur_majori";"Archaeolemur";"majori";NA;20;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Arctocebus_aureus";"Arctocebus";"aureus";NA;21;6;NA;NA;5.88;210;NA;NA;NA;NA;NA;NA
"Arctocebus_calabarensis";"Arctocebus";"calabarensis";NA;22;6;0;1;6.92;309;1;133.74;109.26;156;298.91;243
"Ateles_belzebuth";"Ateles";"belzebuth";NA;23;7;0;12;117.02;8167;14.5;138.2;NA;336;NA;NA
"Ateles_fusciceps";"Ateles";"fusciceps";NA;24;7;0;4;114.24;9025;NA;224.7;482.7;288;1799.68;707.4
"Ateles_geoffroyi";"Ateles";"geoffroyi";NA;25;7;2;58;105.09;7535;42;226.37;816.35;327.6;2104.57;1042.72
"Ateles_paniscus";"Ateles";"paniscus";NA;26;7;0;30;103.85;8280;20;228.18;805.41;453.6;2104.57;1033.59
"Avahi_cleesei";"Avahi";"cleesei";NA;27;8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Avahi_laniger";"Avahi";"laniger";NA;28;8;0;10;9.86;1207;2;136.15;149.15;NA;NA;285.3
"Avahi_occidentalis";"Avahi";"occidentalis";NA;29;8;0;6;7.95;801;3;NA;NA;NA;NA;NA
"Avahi_unicolor";"Avahi";"unicolor";NA;30;8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Brachyteles_arachnoides";"Brachyteles";"arachnoides";NA;31;9;0;57;NA;10537.31;19.6;221.75;734.82;NA;2876.24;956.57
"Bunopithecus_hoolock";"Bunopithecus";"hoolock";NA;32;10;0;24;110.68;6728;3.2;232.5;635.13;NA;2689.08;867.63
"Cacajao_calvus";"Cacajao";"calvus";NA;33;11;0;11;76;3165;23.7;180;339.29;324;1262.74;519.29
"Cacajao_melanocephalus";"Cacajao";"melanocephalus";NA;34;11;0;8;68.77;2935;30;NA;NA;216;NA;NA
