"case";"response";"order";"id";"age";"male";"edu";"action";"intention";"contact";"story";"action2"
"cfaqu";4;2;"96;434";14;0;"Middle School";0;0;1;"aqu";1
"cfbur";3;31;"96;434";14;0;"Middle School";0;0;1;"bur";1
"cfrub";4;16;"96;434";14;0;"Middle School";0;0;1;"rub";1
"cibox";3;32;"96;434";14;0;"Middle School";0;1;1;"box";1
"cibur";3;4;"96;434";14;0;"Middle School";0;1;1;"bur";1
"cispe";3;9;"96;434";14;0;"Middle School";0;1;1;"spe";1
"fkaqu";5;29;"96;434";14;0;"Middle School";1;0;0;"aqu";1
"fkboa";4;12;"96;434";14;0;"Middle School";1;0;0;"boa";1
"fkbox";4;23;"96;434";14;0;"Middle School";1;0;0;"box";1
"fkbur";4;22;"96;434";14;0;"Middle School";1;0;0;"bur";1
"fkcar";4;27;"96;434";14;0;"Middle School";1;0;0;"car";1
"fkspe";4;19;"96;434";14;0;"Middle School";1;0;0;"spe";1
"fkswi";4;14;"96;434";14;0;"Middle School";1;0;0;"swi";1
"flboa";5;3;"96;434";14;0;"Middle School";0;0;0;"boa";0
"flcar";4;18;"96;434";14;0;"Middle School";0;0;0;"car";0
"flche";4;15;"96;434";14;0;"Middle School";0;0;0;"che";0
"flsha";4;30;"96;434";14;0;"Middle School";0;0;0;"sha";0
"flswi";4;5;"96;434";14;0;"Middle School";0;0;0;"swi";0
"ikbox";4;1;"96;434";14;0;"Middle School";1;1;0;"box";1
"ikbur";3;13;"96;434";14;0;"Middle School";1;1;0;"bur";1
"ikpon";3;20;"96;434";14;0;"Middle School";1;1;0;"pon";1
"ikshi";3;17;"96;434";14;0;"Middle School";1;1;0;"shi";1
"ikspe";4;28;"96;434";14;0;"Middle School";1;1;0;"spe";1
"ilbox";4;10;"96;434";14;0;"Middle School";0;1;0;"box";0
"ilche";5;6;"96;434";14;0;"Middle School";0;1;0;"che";0
"ilpon";4;11;"96;434";14;0;"Middle School";0;1;0;"pon";0
"ilsha";4;21;"96;434";14;0;"Middle School";0;1;0;"sha";0
"ilshi";3;26;"96;434";14;0;"Middle School";0;1;0;"shi";0
"ilswi";4;24;"96;434";14;0;"Middle School";0;1;0;"swi";0
"nfrub";4;7;"96;434";14;0;"Middle School";1;0;0;"rub";1
"cfaqu";4;31;"96;445";53;1;"Bachelor's Degree";0;0;1;"aqu";1
"cfbur";2;2;"96;445";53;1;"Bachelor's Degree";0;0;1;"bur";1
"cfrub";4;17;"96;445";53;1;"Bachelor's Degree";0;0;1;"rub";1
"cibox";1;1;"96;445";53;1;"Bachelor's Degree";0;1;1;"box";1
"cibur";1;29;"96;445";53;1;"Bachelor's Degree";0;1;1;"bur";1
"cispe";1;24;"96;445";53;1;"Bachelor's Degree";0;1;1;"spe";1
"fkaqu";7;4;"96;445";53;1;"Bachelor's Degree";1;0;0;"aqu";1
"fkboa";4;21;"96;445";53;1;"Bachelor's Degree";1;0;0;"boa";1
"fkbox";7;10;"96;445";53;1;"Bachelor's Degree";1;0;0;"box";1
"fkbur";7;11;"96;445";53;1;"Bachelor's Degree";1;0;0;"bur";1
"fkcar";1;6;"96;445";53;1;"Bachelor's Degree";1;0;0;"car";1
"fkspe";1;14;"96;445";53;1;"Bachelor's Degree";1;0;0;"spe";1
"fkswi";1;19;"96;445";53;1;"Bachelor's Degree";1;0;0;"swi";1
"flboa";1;30;"96;445";53;1;"Bachelor's Degree";0;0;0;"boa";0
"flcar";7;15;"96;445";53;1;"Bachelor's Degree";0;0;0;"car";0
"flche";1;18;"96;445";53;1;"Bachelor's Degree";0;0;0;"che";0
"flsha";1;3;"96;445";53;1;"Bachelor's Degree";0;0;0;"sha";0
"flswi";4;28;"96;445";53;1;"Bachelor's Degree";0;0;0;"swi";0
"ikbox";1;32;"96;445";53;1;"Bachelor's Degree";1;1;0;"box";1
"ikbur";1;20;"96;445";53;1;"Bachelor's Degree";1;1;0;"bur";1
