"dept";"applicant.gender";"admit"
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
"A";"male";1
