"year";"doy";"temp";"temp_upper";"temp_lower"
801;NA;NA;NA;NA
802;NA;NA;NA;NA
803;NA;NA;NA;NA
804;NA;NA;NA;NA
805;NA;NA;NA;NA
806;NA;NA;NA;NA
807;NA;NA;NA;NA
808;NA;NA;NA;NA
809;NA;NA;NA;NA
810;NA;NA;NA;NA
811;NA;NA;NA;NA
812;92;NA;NA;NA
813;NA;NA;NA;NA
814;NA;NA;NA;NA
815;105;NA;NA;NA
816;NA;NA;NA;NA
817;NA;NA;NA;NA
818;NA;NA;NA;NA
819;NA;NA;NA;NA
820;NA;NA;NA;NA
821;NA;NA;NA;NA
822;NA;NA;NA;NA
823;NA;NA;NA;NA
824;NA;NA;NA;NA
825;NA;NA;NA;NA
826;NA;NA;NA;NA
827;NA;NA;NA;NA
828;NA;NA;NA;NA
829;NA;NA;NA;NA
830;NA;NA;NA;NA
831;96;NA;NA;NA
832;NA;NA;NA;NA
833;NA;NA;NA;NA
834;NA;NA;NA;NA
835;NA;NA;NA;NA
836;NA;NA;NA;NA
837;NA;NA;NA;NA
838;NA;NA;NA;NA
839;NA;5.87;10.99;0.75
840;NA;5.99;10.78;1.21
841;NA;6.12;10.6;1.64
842;NA;6.25;10.47;2.02
843;NA;6.37;10.39;2.35
844;NA;6.5;10.37;2.63
845;NA;6.62;10.42;2.83
846;NA;6.75;10.54;2.96
847;NA;6.88;10.73;3.03
848;NA;7;10.99;3.02
849;NA;7.13;11.31;2.95
850;NA;7.25;11.68;2.83
851;108;7.38;12.1;2.66
852;NA;NA;NA;NA
853;104;NA;NA;NA
854;NA;NA;NA;NA
855;NA;NA;NA;NA
856;NA;NA;NA;NA
857;NA;NA;NA;NA
858;NA;NA;NA;NA
859;NA;NA;NA;NA
860;NA;NA;NA;NA
861;NA;6.63;10.21;3.05
862;NA;6.51;9.4;3.62
863;NA;6.44;9.31;3.56
864;100;6.42;8.69;4.14
865;NA;6.44;8.54;4.34
866;106;6.44;8.11;4.77
867;NA;NA;NA;NA
868;NA;NA;NA;NA
869;95;NA;NA;NA
870;NA;NA;NA;NA
871;NA;NA;NA;NA
872;NA;NA;NA;NA
873;NA;NA;NA;NA
874;NA;NA;NA;NA
875;NA;NA;NA;NA
876;NA;5.6;7.05;4.15
877;NA;5.71;7;4.42
878;NA;5.82;7.63;4.01
879;NA;5.95;7.66;4.24
880;NA;6.08;7.73;4.44
881;NA;6.22;7.84;4.59
882;NA;6.4;8.45;4.36
883;NA;6.23;7.57;4.89
884;NA;6.3;7.62;4.97
885;NA;6.36;7.7;5.03
886;NA;6.43;7.79;5.08
887;NA;6.65;8.23;5.08
888;NA;6.74;8.34;5.14
889;104;6.83;8.48;5.19
890;NA;6.88;8.79;4.97
891;109;6.98;8.96;5
892;108;7.11;9.11;5.11
893;NA;6.93;8.34;5.53
894;106;6.98;8.4;5.55
895;104;7.08;8.57;5.58
896;104;7.2;8.69;5.72
897;NA;7.35;9.09;5.6
898;NA;7.36;9.05;5.67
899;NA;7.37;9.03;5.7
900;NA;7.45;8.91;5.99
901;NA;7.48;8.92;6.04
902;102;7.5;8.95;6.06
903;NA;7.4;9.01;5.79
904;NA;7.37;8.95;5.8
905;NA;7.34;8.9;5.79
906;NA;7.32;8.88;5.75
907;NA;7.29;8.87;5.7
908;98;7.26;8.89;5.62
909;NA;7.21;9.1;5.31
910;NA;7.19;9.16;5.21
911;NA;6.85;8.85;4.84
912;95;6.78;8.83;4.74
913;110;6.61;8.59;4.63
914;NA;6.92;10.29;3.55
915;NA;6.77;10.21;3.34
916;NA;6.63;10.18;3.07
917;95;6.48;10.21;2.76
918;NA;6.33;10.1;2.56
919;NA;6.4;9.07;3.73
920;NA;6.8;8.52;5.08
921;NA;6.79;8.5;5.07
922;NA;6.77;8.49;5.05
923;104;6.76;8.5;5.01
924;NA;6.84;9.15;4.53
925;NA;7.4;9.95;4.84
926;98;7.45;10.01;4.9
927;NA;6.82;9.6;4.05
928;NA;6.68;9.07;4.29
929;NA;6.78;8.87;4.69
930;97;6.81;8.63;4.98
931;NA;6.47;9.48;3.47
932;NA;6.58;9.43;3.74
933;106;6.72;9.41;4.03
934;NA;6.49;10.03;2.96
935;NA;6.71;9.53;3.9
936;NA;6.83;9.28;4.38
937;NA;6.94;9.02;4.87
938;NA;7.02;8.96;5.08
939;NA;7.1;8.84;5.35
940;NA;7.17;8.82;5.52
941;109;7.25;8.82;5.67
942;NA;7.56;9.11;6.01
943;NA;7.54;9;6.08
944;NA;7.47;8.9;6.05
945;NA;7.43;8.73;6.14
946;NA;7.39;8.64;6.14
947;NA;7.23;8.57;5.9
948;NA;7.16;8.48;5.84
949;107;7.1;8.35;5.85
950;95;7.2;8.65;5.75
951;NA;7.08;8.55;5.61
952;NA;6.97;8.45;5.48
953;NA;6.85;8.38;5.33
954;NA;6.74;8.33;5.16
955;89;7.07;8.37;5.77
956;NA;6.94;8.16;5.73
957;112;6.93;8.21;5.66
958;109;6.96;8.34;5.58
959;97;7.14;8.43;5.85
960;101;7.07;8.45;5.69
961;87;7.06;8.44;5.69
962;NA;6.84;7.87;5.81
963;94;6.82;7.88;5.76
964;NA;6.73;7.76;5.69
965;104;6.74;7.83;5.66
966;98;6.76;7.97;5.55
967;103;6.75;8.16;5.34
968;NA;6.79;8.45;5.12
969;98;6.84;8.61;5.07
970;NA;6.48;7.95;5
971;NA;6.52;8.05;4.99
972;107;6.57;8.17;4.98
973;NA;6.64;8.38;4.9
974;108;5.91;7.78;4.05
975;101;5.98;8.32;3.64
976;NA;6.2;8.16;4.23
977;112;6.16;7.85;4.48
978;NA;6.57;8.89;4.24
979;104;6.48;8.77;4.2
980;NA;6.74;10.03;3.44
981;NA;6.6;9.81;3.39
982;NA;6.46;9.63;3.29
983;NA;6.32;9.49;3.15
984;NA;6.08;9.39;2.77
985;94;5.92;9.23;2.61
986;NA;5.64;8.16;3.12
987;NA;5.79;7.64;3.95
988;NA;5.67;7.48;3.86
989;100;5.8;7.31;4.28
990;NA;5.53;7.18;3.88
991;104;5.53;7.11;3.94
992;NA;5.29;7.34;3.24
993;NA;5.32;7.24;3.4
994;NA;5.35;7.17;3.53
995;NA;5.38;7.14;3.63
996;NA;5.42;7.14;3.69
997;NA;5.45;7.18;3.71
998;NA;5.48;7.27;3.69
999;NA;5.14;6.8;3.48
1000;105;5.1;6.8;3.41
1001;NA;5.41;7.24;3.57
1002;NA;5.3;6.88;3.72
1003;NA;5.41;6.91;3.92
1004;117;5.62;7.22;4.03
1005;NA;5.89;7.38;4.41
1006;100;5.92;7.27;4.57
1007;106;5.73;7.32;4.14
1008;NA;5.66;7.53;3.79
1009;NA;5.74;7.56;3.92
1010;NA;5.82;7.62;4.03
1011;NA;5.87;7.49;4.24
1012;NA;5.94;7.57;4.32
1013;NA;6.02;7.66;4.38
1014;115;6.09;7.77;4.41
1015;NA;6.26;7.82;4.7
1016;111;6.26;7.64;4.89
1017;99;6.39;7.78;5.01
1018;113;6.04;7.45;4.64
1019;98;6.32;7.93;4.71
1020;NA;6.11;7.62;4.6
1021;NA;6.1;7.55;4.65
1022;NA;6.08;7.49;4.67
1023;NA;6.07;7.47;4.67
1024;NA;6.06;7.47;4.65
1025;NA;6.04;7.49;4.59
1026;NA;6.03;7.54;4.52
1027;NA;6.02;7.61;4.42
1028;NA;6.01;7.7;4.31
1029;116;5.99;7.81;4.18
1030;NA;6.01;7.62;4.4
1031;97;6.63;7.97;5.29
1032;111;6.53;8.01;5.04
1033;102;6.68;8.18;5.19
1034;96;6.67;8.42;4.91
1035;NA;6.45;8.62;4.28
1036;104;6.34;7.98;4.7
1037;NA;6.29;8.37;4.21
1038;NA;6.34;8.4;4.27
1039;NA;6.38;8.46;4.31
1040;NA;6.43;8.54;4.31
1041;103;6.01;7.82;4.21
1042;NA;5.95;8.12;3.78
1043;NA;6.02;7.81;4.24
1044;NA;6.02;7.79;4.26
1045;NA;6.03;7.8;4.26
1046;103;6.03;7.82;4.24
1047;NA;5.96;8.15;3.77
1048;112;5.98;8.2;3.75
1049;NA;6.22;8.97;3.48
1050;105;6.36;8.38;4.34
1051;NA;6.53;9.42;3.63
1052;NA;6.48;9.27;3.69
1053;NA;6.65;8.97;4.32
1054;NA;6.35;9.09;3.6
1055;NA;6.28;8.94;3.62
1056;NA;6.21;8.81;3.61
1057;NA;6.14;8.72;3.56
1058;NA;6.19;8.32;4.07
1059;NA;6.14;8.26;4.03
1060;108;6.15;7.97;4.34
1061;92;6.33;8.59;4.07
1062;NA;5.73;7.72;3.75
