"actor";"recipient";"condition";"block";"trial";"prosoc_left";"chose_prosoc";"pulled_left"
1;NA;0;1;2;0;1;0
1;NA;0;1;4;0;0;1
1;NA;0;1;6;1;0;0
1;NA;0;1;8;0;1;0
1;NA;0;1;10;1;1;1
1;NA;0;1;12;1;1;1
1;NA;0;2;14;1;0;0
1;NA;0;2;16;1;0;0
1;NA;0;2;18;0;1;0
1;NA;0;2;20;0;1;0
1;NA;0;2;22;0;0;1
1;NA;0;2;24;1;0;0
1;NA;0;3;26;0;0;1
1;NA;0;3;28;1;1;1
1;NA;0;3;30;0;1;0
1;NA;0;3;32;1;1;1
1;NA;0;3;34;1;0;0
1;NA;0;3;36;0;1;0
1;NA;0;4;38;1;1;1
1;NA;0;4;40;0;0;1
1;NA;0;4;42;0;0;1
1;NA;0;4;44;0;1;0
1;NA;0;4;46;1;1;1
1;NA;0;4;48;1;0;0
1;NA;0;5;50;0;1;0
1;NA;0;5;52;0;0;1
1;NA;0;5;54;1;0;0
1;NA;0;5;56;1;0;0
1;NA;0;5;58;0;1;0
1;NA;0;5;60;1;0;0
1;NA;0;6;62;0;1;0
1;NA;0;6;64;1;1;1
1;NA;0;6;66;1;1;1
1;NA;0;6;68;1;1;1
1;NA;0;6;70;0;1;0
1;NA;0;6;72;0;1;0
1;8;1;1;1;0;0;1
1;4;1;1;3;0;1;0
1;5;1;1;5;1;0;0
1;7;1;1;7;0;1;0
1;3;1;1;9;0;0;1
1;6;1;1;11;0;1;0
1;4;1;2;13;1;0;0
1;3;1;2;15;0;1;0
1;5;1;2;17;1;0;0
1;7;1;2;19;0;0;1
1;8;1;2;21;1;1;1
1;6;1;2;23;0;0;1
1;3;1;3;25;1;0;0
1;6;1;3;27;0;1;0
1;4;1;3;29;1;1;1
1;8;1;3;31;1;1;1
1;7;1;3;33;1;1;1
1;5;1;3;35;0;0;1
1;8;1;4;37;0;1;0
1;6;1;4;39;1;1;1
1;5;1;4;41;1;0;0
1;7;1;4;43;0;1;0
1;3;1;4;45;0;1;0
1;4;1;4;47;0;1;0
1;6;1;5;49;1;1;1
1;7;1;5;51;1;0;0
1;4;1;5;53;1;1;1
1;5;1;5;55;0;1;0
1;8;1;5;57;0;1;0
1;3;1;5;59;1;1;1
1;3;1;6;61;1;1;1
1;7;1;6;63;1;0;0
1;5;1;6;65;0;1;0
1;6;1;6;67;1;0;0
1;8;1;6;69;1;1;1
1;4;1;6;71;0;1;0
2;NA;0;1;1;1;1;1
2;NA;0;1;3;0;0;1
2;NA;0;1;5;0;0;1
2;NA;0;1;7;0;0;1
2;NA;0;1;9;1;1;1
2;NA;0;1;11;1;1;1
2;NA;0;2;13;1;1;1
2;NA;0;2;15;1;1;1
2;NA;0;2;17;1;1;1
2;NA;0;2;19;0;0;1
2;NA;0;2;21;0;0;1
2;NA;0;2;23;0;0;1
2;NA;0;3;25;0;0;1
2;NA;0;3;27;0;0;1
2;NA;0;3;29;1;1;1
2;NA;0;3;31;1;1;1
2;NA;0;3;33;0;0;1
2;NA;0;3;35;1;1;1
2;NA;0;4;37;0;0;1
2;NA;0;4;39;0;0;1
2;NA;0;4;41;1;1;1
2;NA;0;4;43;0;0;1
2;NA;0;4;45;1;1;1
2;NA;0;4;47;1;1;1
2;NA;0;5;49;0;0;1
2;NA;0;5;51;1;1;1
2;NA;0;5;53;0;0;1
2;NA;0;5;55;1;1;1
2;NA;0;5;57;0;0;1
2;NA;0;5;59;1;1;1
2;NA;0;6;61;1;1;1
2;NA;0;6;63;0;0;1
2;NA;0;6;65;1;1;1
2;NA;0;6;67;1;1;1
2;NA;0;6;69;0;0;1
2;NA;0;6;71;0;0;1
2;7;1;1;2;0;0;1
2;8;1;1;4;0;0;1
2;2;1;1;6;0;0;1
2;7;1;6;70;0;0;1
2;5;1;1;8;0;0;1
2;6;1;1;10;0;0;1
2;4;1;1;12;0;0;1
2;4;1;2;14;0;0;1
2;5;1;2;16;1;1;1
2;8;1;2;18;0;0;1
2;7;1;2;20;1;1;1
2;6;1;2;22;1;1;1
2;2;1;2;24;1;1;1
2;8;1;3;26;1;1;1
