"ISLAND";"TOTAL";"NATIVE";"AREA";"ELEV";"DISTNEAR";"DISTSC";"AREANEAR"
"Baltra";58;23;25.09000015258789;332;.6000000238418579;.6000000238418579;1.840000033378601
"Bartolome";31;21;1.2400000095367432;109;.6000000238418579;26.299999237060547;572.3300170898438
"Caldwell";3;3;.20999999344348907;114;2.799999952316284;58.70000076293945;.7799999713897705
"Champion";25;9;.10000000149011612;46;1.899999976158142;47.400001525878906;.18000000715255737
"Coamano";2;1;1.0499999523162842;130;1.899999976158142;1.899999976158142;903.8200073242188
"Daphne Major";18;11;.3400000035762787;119;8;8;1.840000033378601
"Daphne Minor";24;12;.07999999821186066;93;6;12;.3400000035762787
"Darwin";10;7;2.3299999237060547;168;34.099998474121094;290.20001220703125;2.8499999046325684
"Eden";8;4;.029999999329447746;46;.4000000059604645;.4000000059604645;17.950000762939453
"Enderby";2;2;.18000000715255737;112;2.5999999046325684;50.20000076293945;.10000000149011612
"Wspanola";97;26;58.27000045776367;198;1.100000023841858;88.30000305175781;.5699999928474426
"Fernandina";93;35;634.489990234375;1494;4.300000190734863;95.30000305175781;4669.31982421875
"Gardner (Esp.)";58;17;.5699999928474426;49;1.100000023841858;93.0999984741211;58.27000045776367
"Gardner (S.M.)";5;4;.7799999713897705;227;4.599999904632568;62.20000076293945;.20999999344348907
"Genovesa";40;19;17.350000381469727;76;47.400001525878906;92.19999694824219;129.49000549316406
"Isabela";347;89;4669.31982421875;1707;.699999988079071;28.100000381469727;634.489990234375
"Marchena";51;23;129.49000549316406;343;29.100000381469727;85.9000015258789;59.560001373291016
"Onslow";2;2;.009999999776482582;25;3.299999952316284;45.900001525878906;.10000000149011612
"Pinta";104;37;59.560001373291016;777;29.100000381469727;119.5999984741211;129.49000549316406
"Pinzon";108;33;17.950000762939453;458;10.699999809265137;10.699999809265137;.029999999329447746
"Las Plazas";12;9;.23000000417232513;84;.5;.6000000238418579;25.09000015258789
"Rabida";70;30;4.889999866485596;367;4.400000095367432;24.399999618530273;572.3300170898438
"San Cristobal";280;65;551.6199951171875;716;45.20000076293945;66.5999984741211;.5699999928474426
"San Salvador";237;81;572.3300170898438;906;.20000000298023224;19.799999237060547;4.889999866485596
"Santa Cruz";444;95;903.8200073242188;864;.6000000238418579;0;.5199999809265137
"Santa Fe";62;28;24.079999923706055;259;16.5;16.5;.5199999809265137
"Santa Maria";285;73;170.9199981689453;640;2.5999999046325684;49.20000076293945;.10000000149011612
"Seymour";44;16;1.840000033378601;154;.6000000238418579;9.600000381469727;25.09000015258789
"Tortuga";16;8;1.2400000095367432;186;6.800000190734863;50.900001525878906;17.950000762939453
"Wolf";21;12;2.8499999046325684;253;34.099998474121094;254.6999969482422;2.3299999237060547
