Territory;Bands;Population;Happiness
Afghanistan;2;37466414;2.404
Albania;7;3088385;5.199
Algeria;16;43576691;5.122
Andorra;2;85645;
Angola;8;33642646;
Argentina;1907;45864941;5.967
Armenia;19;3011609;5.399
Australia;1545;25809973;7.162
Austria;664;8884864;7.163
Azerbaijan;9;10282283;5.173
Bahrain;6;1526929;6.647
Bangladesh;65;164098818;5.155
Barbados;3;301865;
Belarus;293;9441842;5.821
Belgium;666;11778842;6.805
Belize;1;405633;
Benin;;;4.623
Bolivia;243;11758869;5.600
Bosnia and Herzegovina;86;3824782;5.768
Botswana;7;2350667;3.471
Brazil;4173;213445417;6.293
Brunei;15;471103;
Bulgaria;203;6919180;5.371
Burkina Faso;;;4.670
Cambodia;2;17304363;4.640
Cameroon;;;5.048
Canada;2756;37943231;7.025
Chad;;;4.251
Chile;2096;18307925;6.172
China;284;1397897720;5.585
Colombia;1491;50355650;5.781
Comoros;;;4.609
Congo;;;5.075
Costa Rica;235;5151140;6.582
Croatia;248;4208973;6.125
Cuba;54;11032343;
Cyprus;52;1281506;6.221
Czech Republic;964;10702596;6.920
Denmark;500;5894687;7.636
Dominican Republic;31;10597348;5.737
East Timor;1;1413958;
Ecuador;470;17093159;5.533
Egypt;41;106437241;4.288
El Salvador;96;6528135;6.120
Estonia;135;1220042;6.341
Eswatini. Kingdom of;;;4.396
Ethiopia;;;4.241
Faroe Islands;11;51943;
Finland;2381;5587442;7.821
France;29;68084217;6.687
French Polynesia;1;297154;
Gabon;;;4.958
Gambia;;;5.164
Georgia;23;4933674;4.973
Germany;5726;79903481;7.034
Ghana;;;4.872
Gibraltar;3;29516;
Greece;1236;10569703;5.948
Greenland;6;57799;
Guatemala;113;17422821;6.262
Guernsey ;7;67334;
Guyana;2;787971;
Guinea;;;4.891
Honduras;50;9346277;6.022
Hong Kong;31;7263234;5.425
Hungary;604;9728337;6.086
Iceland;113;354234;7.557
India;196;1339330514;3.777
Indonesia;1601;275122131;5.240
Iran;94;85888910;4.888
Iraq;12;39650145;4.941
Ireland;231;5224884;7.041
Isle of Man;1;90895;
Israel;165;8787045;7.364
Italy;3623;62390364;6.467
Ivory Coast;;;5.235
Jamaica;2;2816602;5.850
Japan;1318;124687293;6.039
Jersey;3;101476;
Jordan;20;10909567;4.152
Kazakhstan;25;19245793;6.234
Kenya;6;54685051;4.543
Kosovo;;;6.455
Kuwait;5;3032065;6.106
Kyrgyzstan;6;6018789;5.828
Laos;7;7574356;5.140
Latvia;83;1862687;6.180
Lebanon;25;5261372;2.955
Lesotho;;;3.512
Liberia;;;5.122
Libya;4;7017224;5.330
Liechtenstein;7;39425;
Lithuania;108;2711566;6.446
Luxembourg;38;639589;7.404
Madagascar;16;27534354;4.339
Malawi;;;3.750
Malaysia;458;33519406;5.711
Maldives;6;390669;
Mali;;;4.479
Malta;51;460891;6.447
Mauritania;;;4.153
Mauritius;2;1386129;6.071
Mexico;24;130207371;6.128
Moldova;25;3323875;5.857
Monaco;2;31223;
Mongolia;5;3198913;5.761
Montenegro;9;607414;5.547
Morocco;22;36561813;5.060
Mozambique;1;30888034;5.048
Myanmar;9;57069099;4.394
Namibia;1;2678191;4.459
Nepal;23;30424878;5.377
Netherlands;1084;17337403;7.415
New Caledonia;5;293608;
New Zealand;288;4991442;7.200
Nicaragua;35;6243931;6.165
Niger;;;5.003
Nigeria;;;4.552
North Cyprus;;;5.467
North Macedonia;63;2128262;5.199
Norway;1007;5509591;7.365
Oman;2;3694755;
Pakistan;19;238181034;4.516
Palestine;1;2949246;4.483
Panama;54;3928646;6.309
Paraguay;174;7272639;5.578
Peru;402;32201224;5.559
Philippines;257;110818325;5.904
Poland;1523;38185913;6.123
Portugal;752;10263850;6.016
Puerto Rico;101;3142779;
Qatar;3;2479995;
Réunion;9;85845;
Romania;270;21230362;6.477
Russia;3072;142320790;5.459
Rwanda;;;3.268
Saint Pierre and Miquelon;1;5321;
San Marino;3;34467;
Saudi Arabia;9;34783757;6.523
Serbia;285;6974289;6.178
Senegal;;;5.046
Sierra Leone;;;3.574
Singapore;173;5866139;6.480
Slovakia;357;5436066;6.391
Slovenia;164;2102106;6.630
South Africa;165;56978635;5.194
South Korea;146;51715162;5.935
Spain;2002;47260584;6.476
Sri Lanka;30;23044123;4.362
Suriname;2;614749;
Sweden;2281;10261767;7.384
Switzerland;630;8453550;7.512
Syria;22;20384316;
Taiwan;79;23572052;6.512
Tajikistan;3;8990874;5.377
Tanzania;;;3.702
Thailand;132;69480520;5.891
Trinidad and Tobago;5;1221047;
Togo;;;4.112
Tunisia;25;11811335;4.516
Turkey;329;82482383;4.744
Turkmenistan;2;5579889;5.474
Uganda;2;44712143;4.603
Ukraine;715;43745640;5.084
United Arab Emirates;14;9856612;6.576
United Kingdom;3244;66052076;6.943
United States;17557;334998398;6.977
Uruguay;121;3398239;6.474
Uzbekistan;9;30842796;6.063
Venezuela;343;29069153;4.925
Vietnam;21;102789598;5.485
Yemen;;;4.197
Zambia;;;3.760
Zimbabwe;2;14829988;2.995
