isocode;isonum;country;rugged;rugged_popw;rugged_slope;rugged_lsd;rugged_pc;land_area;lat;lon;soil;desert;tropical;dist_coast;near_coast;gemstones;rgdppc_2000;rgdppc_1950_m;rgdppc_1975_m;rgdppc_2000_m;rgdppc_1950_2000_m;q_rule_law;cont_africa;cont_asia;cont_europe;cont_oceania;cont_north_america;cont_south_america;legor_gbr;legor_fra;legor_soc;legor_deu;legor_sca;colony_esp;colony_gbr;colony_fra;colony_prt;colony_oeu;africa_region_n;africa_region_s;africa_region_w;africa_region_e;africa_region_c;slave_exports;dist_slavemkt_atlantic;dist_slavemkt_indian;dist_slavemkt_saharan;dist_slavemkt_redsea;pop_1400;european_descent
"ABW";533;"Aruba";0.462;0.380;1.226;0.144;0.000;18;12.508;-69.970;21.324;0.000;100.000;0.001;100;0;;;;;;;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0.000;;;;;614;
"AFG";4;"Afghanistan";2.518;1.469;7.414;0.720;39.004;65209;33.833;66.026;27.849;4.356;0.000;0.922;0;0;;644.756;720.633;565.231;679.791;-1.687;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0.000;;;;;1870829;0.000
"AGO";24;"Angola";0.858;0.714;2.274;0.228;4.906;124670;-12.299;17.551;26.676;0.425;44.346;0.428;13.1587;47756;1794.729;1051.822;1073.036;765.215;1106.763;-1.567;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;3.61e+06;5.669;6.981;4.926;3.872;1223208;2.000
"AIA";660;"Anguilla";0.013;0.010;0.026;0.006;0.000;9;18.231;-63.064;100.000;0.000;100.000;0.000;100;0;;;;;;;0;0;0;0;1;0;;;;;;0;0;0;0;0;0;0;0;0;0;0.000;;;;;;
"ALB";8;"Albania";3.427;1.597;10.451;1.006;62.133;2740;41.143;20.070;68.088;0.000;0.000;0.048;94.6919;0;3703.113;1001.339;2289.472;2741.420;1931.784;-0.820;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0.000;;;;;200000;100.000
"AND";20;"Andorra";5.717;6.722;17.774;1.616;99.064;47;42.551;1.576;0.000;0.000;0.000;0.134;0;0;;;;;;1.515;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0.000;;;;;;
"ANT";530;"Netherlands Antilles";0.255;0.039;0.680;0.080;0.000;80;12.725;-68.157;24.595;0.000;74.555;0.001;100;0;;;;;;;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0.000;;;;;1802;
"ARE";784;"United Arab Emirates";0.769;0.316;2.112;0.191;6.142;8360;23.913;54.331;0.000;77.280;0.000;0.065;75.7464;0;20604.460;15797.558;25465.002;17567.883;20119.992;0.913;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0.000;;;;;19200;0.000
"ARG";32;"Argentina";0.775;0.220;2.268;0.226;9.407;273669;-35.396;-65.170;35.678;0.000;0.000;0.352;13.0167;0;12173.680;4986.725;8122.497;8543.558;6926.810;0.033;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0.000;;;;;276632;89.889
"ARM";51;"Armenia";2.688;0.934;8.178;0.799;50.556;2820;40.294;44.938;30.148;0.000;0.000;0.348;0;0;2421.985;;;4565.035;;-0.453;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0.000;;;;;105743;0.500
"ASM";16;"American Samoa";2.647;1.630;7.032;0.792;44.303;20;-14.200;-170.388;100.000;0.000;100.000;0.000;100;0;;;;;;;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.000;;;;;;
"ATG";28;"Antigua and Barbuda";0.006;0.003;0.012;0.003;0.000;44;17.271;-61.800;100.000;0.000;100.000;0.001;100;0;10022.030;;;;;0.990;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0.000;;;;;747;
"AUS";36;"Australia";0.143;0.183;0.405;0.045;0.685;768230;-25.733;134.487;14.248;10.889;14.680;0.336;20.9399;264154;25417.440;7411.577;13169.830;21605.334;13184.232;1.773;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0.000;;;;;200000;89.954
"AUT";40;"Austria";3.513;1.152;11.095;1.008;54.307;8245;47.589;14.140;55.098;0.000;0.000;0.242;2.25634;0;28987.840;3706.075;11646.408;20691.416;11601.704;1.853;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0.000;;;;;1250000;98.400
"AZE";31;"Azerbaijan";1.672;0.534;5.080;0.490;27.713;8260.5;40.288;47.528;60.957;0.000;0.000;0.584;0;0;2570.944;;;2538.140;;-1.007;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0.000;;;;;226250;4.000
"BDI";108;"Burundi";1.780;1.586;4.721;0.500;27.519;2568;-3.365;29.887;24.049;0.000;75.354;0.906;0;0;621.652;360.142;534.858;495.977;530.763;-1.250;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;86.997;10.626;2.570;3.719;2.215;239693;0.000
"BEL";56;"Belgium";0.388;0.261;1.239;0.109;0.178;3023;50.642;4.661;48.967;0.000;0.000;0.113;45.9637;0;27302.990;5462.205;12440.785;20656.459;12223.306;1.413;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0.000;;;;;773466;98.000
"BEN";204;"Benin";0.141;0.099;0.377;0.045;0.014;11062;9.650;2.339;74.973;0.000;97.489;0.367;10.2806;0;959.222;1083.628;969.318;1282.898;1082.474;-0.230;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;4.57e+05;5.121;9.234;2.835;3.902;348867;0.000
"BFA";854;"Burkina Faso";0.236;0.214;0.638;0.066;0.051;27360;12.274;-1.747;56.909;0.000;49.820;0.735;0;0;998.416;474.313;669.515;921.090;719.511;-0.520;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;1.67e+05;4.775;9.299;2.764;4.239;692976;0.000
