"i";"n";"elev";"percforest"
"1";0;420;3
"2";0;420;3
"3";0;420;3
"4";0;450;21
"5";0;450;21
"6";0;450;21
"7";0;1050;32
"8";0;1050;32
"9";15;1050;32
"10";0;1110;35
"11";0;1110;35
"12";0;1110;35
"13";0;510;2
"14";0;510;2
"15";2;510;2
"16";7;630;60
"17";0;630;60
"18";7;630;60
"19";0;590;5
"20";0;590;5
"21";0;590;5
"22";0;530;13
"23";8;530;13
"24";0;530;13
"25";0;1140;50
"26";0;1140;50
"27";3;1140;50
"28";6;770;57
"29";8;770;57
"30";0;770;57
"31";0;1220;84
"32";0;1220;84
"33";0;1220;84
"34";0;460;17
"35";0;460;17
"36";4;460;17
"37";12;1010;58
"38";10;1010;58
"39";0;1010;58
"40";0;760;26
"41";7;760;26
"42";0;760;26
"43";0;1300;32
"44";0;1300;32
"45";7;1300;32
"46";0;1270;66
"47";10;1270;66
"48";0;1270;66
"49";10;380;45
"50";0;380;45
"51";8;380;45
"52";0;550;31
"53";0;550;31
"54";0;550;31
"55";0;390;8
"56";0;390;8
"57";16;390;8
"58";0;1380;78
"59";0;1380;78
"60";0;1380;78
"61";0;530;37
"62";0;530;37
"63";0;530;37
"64";0;1190;18
"65";0;1190;18
"66";4;1190;18
"67";0;1490;54
"68";0;1490;54
"69";0;1490;54
"70";0;920;6
"71";0;920;6
"72";0;920;6
"73";0;620;3
"74";0;620;3
"75";0;620;3
"76";11;540;27
"77";18;540;27
"78";9;540;27
"79";0;820;56
"80";6;820;56
"81";4;820;56
"82";0;1220;66
"83";0;1220;66
"84";0;1220;66
"85";0;1180;43
"86";17;1180;43
"87";5;1180;43
"88";0;730;40
"89";0;730;40
"90";0;730;40
"91";0;580;5
"92";0;580;5
"93";9;580;5
"94";0;490;3
"95";0;490;3
"96";5;490;3
"97";0;1270;52
"98";13;1270;52
"99";0;1270;52
"100";0;930;38
"101";0;930;38
"102";0;930;38
"103";22;510;49
"104";8;510;49
"105";6;510;49
